time,g_x,g_y,g_z,a_x,a_y,a_z
01-29-2021_16-17-36,10.229316614999998,-16.6396883604,18.262022083199998,0.1796875,0.046875,-0.2421875
01-29-2021_16-17-36,4.893322217,-2.3258235671999996,-8.0231341778,0.8046875,0.1328125,-1.109375
01-29-2021_16-17-36,4.6995035864,-2.237289131,-7.982456193599999,1.609375,-0.3515625,-1.1875
01-29-2021_16-17-36,4.7425743932,-2.309073809,-8.0327054682,2.2578125,1.2109375,-1.4375
01-29-2021_16-17-36,4.8598227006,-2.3712871966,-8.070990629799999,1.9140625,-0.9296875,-1.46875
01-29-2021_16-17-36,4.783252377399999,-2.3258235671999996,-8.0422767586,2.2578125,-1.0,0.2734375
01-29-2021_16-17-36,4.7066820542,-2.3736800191999996,-8.0662049846,1.3125,-0.578125,0.4296875
01-29-2021_16-17-36,4.7306102802,-2.3617159061999997,-8.01595571,0.8046875,-0.5,0.921875
01-29-2021_16-17-37,4.723431812399999,-2.3832513096,-8.1571322434,-0.234375,0.375,0.046875
01-29-2021_16-17-37,4.8550370553999995,-2.3234307446,-8.0303126456,0.421875,0.421875,-0.890625
01-29-2021_16-17-37,4.7042892316,-2.2636101795999997,-7.9322069189999995,2.0390625,0.25,-0.3515625
01-29-2021_16-17-37,4.8622155232,-2.2564317118,-7.982456193599999,1.5234375,-0.28125,-1.6640625
01-29-2021_16-17-37,4.876572458799999,-2.4071795355999996,-8.0853475654,2.375,-0.984375,-2.8046875
01-29-2021_16-17-37,4.876572458799999,-2.2755742926,-8.0231341778,2.0703125,-0.1953125,-6.0625
01-29-2021_16-17-37,4.8646083458,-2.3018953412,-8.0255270004,4.4296875,-1.15625,-10.859375
01-29-2021_16-17-37,4.9220360882,-2.3617159061999997,-8.027919823,7.0234375,-2.3125,-12.5625
01-29-2021_16-17-37,4.8119662486,-2.5076780847999998,-8.183453292,7.1953125,-5.109375,-19.2421875
01-29-2021_16-17-37,4.8287160068,-2.1439690496,-8.2337025666,2.3046875,-8.8828125,-21.4765625
01-29-2021_16-17-37,4.139583098,-1.5744772707999999,-8.0901332106,2.546875,-3.078125,-16.1328125
01-29-2021_16-17-37,5.1780681064000005,-2.1056838879999997,-7.9298140963999995,7.4296875,3.2890625,-8.6875
01-29-2021_16-17-37,5.460421173199999,-2.4717857457999997,-7.9034930478,9.3671875,-6.03125,-10.7109375
01-29-2021_16-17-37,5.0799623797999995,-2.5483560689999996,-8.2815590186,9.8671875,-10.171875,-15.9140625
01-29-2021_16-17-37,4.5439701174,-1.7994025951999997,-7.814958611599999,1.3671875,-41.953125,-13.859375
01-29-2021_16-17-37,2.7326034091999998,-1.1006983959999999,-6.915257314,8.8828125,-29.7890625,-28.7890625
01-29-2021_16-17-37,4.242474469799999,-2.4837498588,-8.992227330799999,6.140625,1.578125,-20.9609375
01-29-2021_16-17-38,4.563112698199999,-2.4741785684,-9.396614350199998,10.0625,-17.0390625,-33.375
01-29-2021_16-17-38,3.3116664784,-1.8472590472,-8.7720876516,12.90625,-15.7734375,-63.4140625
01-29-2021_16-17-38,2.4526431649999996,-1.8496518698,-8.489734584799999,23.3828125,-10.7109375,-87.625
01-29-2021_16-17-38,0.7704888771999999,-0.41156548719999997,-9.095118702599999,42.8359375,27.390625,-110.4375
01-29-2021_16-17-38,5.541777141599999,-1.0600204117999998,-9.3056870914,50.546875,58.6484375,-85.625
01-29-2021_16-17-38,6.1926248888,-1.3016954943999999,-6.0203416616,36.4921875,2.7421875,-61.234375
01-29-2021_16-17-38,7.499106028399999,-2.5698914724,-7.29810893,34.53125,-33.0546875,-47.7890625
01-29-2021_16-17-38,4.761716974,-1.8664016279999998,-8.427521197199999,25.8203125,-40.15625,-47.421875
01-29-2021_16-17-38,4.9962135888,-2.081755662,-8.1164542592,32.4921875,-7.7109375,-46.6015625
01-29-2021_16-17-38,5.9270215802,-1.986042758,-7.793423208199999,22.5,-22.140625,-49.15625
01-29-2021_16-17-38,5.5968120614,-2.0865413071999996,-8.831908216599999,24.3125,-41.8984375,-54.0859375
01-29-2021_16-17-38,4.0199419679999995,-0.38285161599999995,-9.690931529999999,36.125,-65.3828125,-48.7421875
01-29-2021_16-17-38,0.6532405698,-3.0723842184,-7.089933363799999,23.609375,-5.4296875,-51.3515625
01-29-2021_16-17-38,2.141576227,-1.8233308212,-8.673981925,14.390625,57.0234375,-45.8125
01-29-2021_16-17-38,6.1328043238,-2.4741785684,-9.3463650756,-1.828125,29.7265625,-63.171875
01-29-2021_16-17-38,4.144368743199999,-2.3832513096,-8.9682991048,-1.3984375,14.015625,-58.3046875
01-29-2021_16-17-38,4.3836510032,-1.8903298539999998,-8.2337025666,-0.0703125,7.03125,-61.7890625
