time,g_x,g_y,g_z,a_x,a_y,a_z
03-11-2021_13-50-47,8.9060857172,-2.6201407469999998,10.085747258999998,-47.7265625,35.2578125,-0.7578125
03-11-2021_13-50-47,9.1549392676,1.8281164663999998,9.241080881199998,-5.75,164.4453125,18.5625
03-11-2021_13-50-47,-1.5314064639999998,-5.2115676228,6.206981824399999,134.5078125,198.6015625,19.4453125
03-11-2021_13-50-47,-2.4885355039999997,2.189432679,7.152146751399999,71.703125,120.59375,-56.5
03-11-2021_13-50-48,-2.1822542112,1.8903298539999998,10.2556376636,-13.8515625,-93.546875,-95.7265625
03-11-2021_13-50-48,-0.23688943739999999,2.5028924396,9.391828705,-70.1484375,-121.296875,-48.890625
03-11-2021_13-50-48,6.357729648199999,1.4165509792,9.6000042712,-104.0546875,-105.8203125,-8.3046875
03-11-2021_13-50-48,8.602197247,0.9260223461999999,9.198010074399999,-104.0234375,-1.2890625,6.15625
03-11-2021_13-50-48,3.1752755902,-1.088734283,8.226524098799999,-76.75,43.3125,63.96875
03-11-2021_13-50-48,3.6155549486,-3.5365918028,9.3942215276,-48.1875,26.3515625,27.296875
03-11-2021_13-50-48,2.0985054201999995,-1.6965112233999997,6.4941205364,-47.8359375,9.6796875,9.2421875
03-11-2021_13-50-48,3.1872397032,-1.9525432416,7.465606511999999,-93.171875,-34.2421875,21.015625
03-11-2021_13-50-48,3.0675985731999997,-6.376872228999999,8.0303126456,-67.390625,-36.6875,48.546875
03-11-2021_13-50-48,6.032305774599999,-7.637889739199999,8.709874264,-44.140625,-13.453125,40.84375
03-11-2021_13-50-48,4.4099720518,-7.841279660199999,8.879764668599998,-9.7578125,48.734375,26.75
03-11-2021_13-50-48,1.7826528369999999,-6.254838276399999,8.212167163199998,14.8515625,40.8984375,20.53125
03-11-2021_13-50-48,1.5361921092,-6.400800454999999,7.848458128,-3.7578125,6.25,11.8359375
03-11-2021_13-50-48,2.2516460665999998,-5.010570524399999,7.9034930478,-16.15625,-11.0390625,40.3203125
03-11-2021_13-50-48,1.9597217093999997,-5.292923591199999,7.948956677199999,-15.890625,4.484375,41.4765625
03-11-2021_13-50-48,2.5004996169999996,-6.5012990042,6.762116667599999,-30.171875,18.6796875,26.25
03-11-2021_13-50-48,0.9762716208,-5.809773272799999,7.664210787799999,-33.625,9.578125,23.859375
03-11-2021_13-50-49,1.4883356571999997,-6.061019645799999,8.3485580514,-41.6875,19.65625,26.765625
03-11-2021_13-50-49,0.28235306679999994,-7.0348984439999995,7.044469734399999,-32.296875,16.9921875,40.203125
03-11-2021_13-50-49,-0.5479563754,-6.9726850564,8.0231341778,-25.359375,3.3515625,29.2734375
