time,g_x,g_y,g_z,a_x,a_y,a_z
02-25-2021_14-49-34,7.061219492599999,-3.9912280967999996,2.883351233,29.1328125,-25.046875,40.140625
02-25-2021_14-49-34,12.4211421166,0.5264209719999999,5.599204884,-11.09375,-46.5,103.3359375
02-25-2021_14-49-34,12.4211421166,-3.2877382523999996,7.4010003018,25.828125,-10.84375,27.6640625
02-25-2021_14-49-34,3.7471601916,-6.862615216799999,4.9459643142,9.609375,2.453125,-3.1640625
02-25-2021_14-49-34,3.7926238209999994,-2.2923240507999996,3.9625142255999997,-23.078125,16.0,-16.2109375
02-25-2021_14-49-34,15.4911335124,-0.7752745223999999,4.7282174576,-37.203125,57.78125,-23.0078125
02-25-2021_14-49-34,8.444270955399999,-7.2311098972,5.276173832999999,27.328125,64.1015625,-44.4609375
02-25-2021_14-49-34,4.737788748,-6.798009006599999,2.3976082452,27.6171875,-29.828125,-23.8125
02-25-2021_14-49-34,5.137390122199999,-4.127618985,1.5984054967999999,37.9765625,-11.125,-28.5078125
02-25-2021_14-49-34,8.3700934548,-1.4021940436,4.2448672923999995,56.7109375,-30.859375,102.5703125
02-25-2021_14-49-34,11.3491575918,-0.6221338759999999,6.800401829199999,-21.15625,-37.7578125,96.21875
02-25-2021_14-49-34,9.6933243526,-4.5032921331999995,6.166303840199999,9.3203125,-14.4453125,4.0078125
02-25-2021_14-49-34,5.1661039934,-7.235895542399999,4.8526442327999995,-7.1328125,-11.34375,-10.9296875
02-25-2021_14-49-34,6.3840506968,-0.39242290639999994,3.6658042231999994,-51.265625,26.2109375,-42.234375
02-25-2021_14-49-35,12.715459296399999,0.32542387359999997,5.060819798999999,-59.765625,57.2890625,-26.4296875
02-25-2021_14-49-35,8.6213398278,-5.326423107599999,6.742974086799999,8.90625,55.8671875,-40.984375
02-25-2021_14-49-35,6.166303840199999,-8.039883935999999,4.055834307,25.3828125,-15.3828125,-40.6640625
02-25-2021_14-49-35,5.060819798999999,-6.113661743,3.5270205123999996,10.9765625,-17.1171875,-18.2578125
02-25-2021_14-49-35,7.9034930478,-5.6925249654,5.4532427054,-4.328125,-6.0234375,41.5703125
02-25-2021_14-49-35,13.016954943999998,0.1579262916,6.3625152934,-7.53125,-50.109375,115.4609375
02-25-2021_14-49-35,13.7874438212,-4.271188340999999,7.501498850999999,27.0546875,1.046875,20.7890625
02-25-2021_14-49-35,3.8644084989999996,-6.223731582599999,4.9363930238,0.9375,5.7734375,-5.984375
02-25-2021_14-49-35,2.5363919559999997,-1.1150553316,1.7922241274,-13.7421875,22.8125,-21.5859375
02-25-2021_14-49-35,11.2989083172,1.7108681589999999,3.3475588174,-54.0625,22.7265625,-36.0078125
02-25-2021_14-49-35,10.150353469199999,-9.595218626,7.7072815945999995,21.46875,62.125,-62.953125
02-25-2021_14-49-35,6.2763736798,-8.4681991814,3.337987527,42.9921875,-3.09375,-39.0234375
02-25-2021_14-49-35,2.3234307446,-5.991627790399999,4.560719875599999,20.9140625,-4.3828125,14.0859375
02-25-2021_14-49-35,10.782058635599999,-4.977071007999999,5.4987063348,15.34375,-10.4453125,85.859375
02-25-2021_14-49-35,11.119446622199998,-0.6388836341999999,5.7930235146,-0.296875,-39.8125,97.6796875
