time,g_x,g_y,g_z,a_x,a_y,a_z
03-15-2021_06-17-36,1.9381863059999997,-3.4145578501999996,9.650253545799998,-0.003136138499677311,-0.01813506175900358,0.015135277107138327
03-15-2021_06-17-36,1.9381863059999997,-3.5341989802,9.7172525786,-0.013908092476829814,-0.019634954084936207,0.001908953869368798
03-15-2021_06-17-36,1.9310078382,-3.4624143021999996,9.7914300792,0.004363323129985824,-0.0059995693037305075,-0.005863215455918451
03-15-2021_06-17-36,1.950150419,-3.4289147858,9.7962157244,-0.014589861715890098,-0.02399827721492203,-0.01813506175900358
03-15-2021_06-17-36,1.9980068709999999,-3.4432717213999995,9.7698946758,-0.000818123086872342,0.000954476934684399,-0.016226107889634783
03-15-2021_06-17-36,1.9645073545999998,-3.3930224467999994,9.7459664498,0.000272707695624114,0.006135923151542565,-0.018544123302439753
03-15-2021_06-17-36,1.950150419,-3.5006994637999997,9.767501853199999,-0.0047723846734219946,0.001772600021556741,-0.01227184630308513
03-15-2021_06-17-36,1.8687944505999998,-3.34995164,9.643075077999999,-0.017998707911191524,-0.000545415391248228,0.012680907846521301
03-15-2021_06-17-36,2.0506489682,-3.2973095427999994,9.7770731436,-0.02945243112740431,-0.05345070834232634,-0.000818123086872342
03-15-2021_06-17-37,2.0003996936,-3.4719855925999994,9.6885387074,-0.0136353847812057,-0.02399827721492203,0.03381575425739013
03-15-2021_06-17-37,1.9645073545999998,-3.4839497055999993,9.7459664498,-0.013499030933393642,-0.012953615542145415,0.03967896971330859
03-15-2021_06-17-37,2.1702900981999997,-3.2159535744,9.7698946758,-0.05713226223325188,-0.009817477042468103,0.045678539017039096
03-15-2021_06-17-37,2.4598216327999998,-3.0532416376,9.427721044,-0.3159318653805361,-0.004908738521234052,0.09272061651219876
03-15-2021_06-17-37,3.2518459134,-2.6871397797999994,9.726823868999999,-0.5050546522958591,-0.1801234329597273,0.020180369476184436
03-15-2021_06-17-37,4.113262049399999,-2.7373890544,9.0831545896,-0.23671027980173096,-0.009681123194656046,-0.0399516774089327
03-15-2021_06-17-37,2.9838497821999996,-3.8141592244,9.784251611399998,0.04826926212546818,0.42596942056486603,0.3111594807071141
03-15-2021_06-17-37,2.1655044529999996,-3.3690942207999997,9.1501536224,0.08399397025222712,0.34456617342106804,0.3489294965510539
03-15-2021_06-17-37,4.223331889,-3.7136606751999994,10.9495562176,0.14535320176765276,0.2667081263203835,-0.06749515466696822
03-15-2021_06-17-37,1.4380863825999999,-4.6755753604,12.2177521956,0.7074037624489516,0.46946629801691225,-0.203303587087777
03-15-2021_06-17-37,0.18185451759999996,0.47856451999999994,9.851250644199999,0.40756165111023834,0.09435686268594344,-0.24843671071356785
03-15-2021_06-17-37,-0.12442677519999999,-3.3212377687999997,10.217352501999999,0.11017390903214205,-0.4239241128476852,-0.21734803341241885
03-15-2021_06-17-37,2.0985054201999995,-0.0167497582,9.8201439504,-0.28388871114470265,-0.26548094169007497,-0.755809378422232
03-15-2021_06-17-37,1.5026925928,-2.2109680824,8.748159425599999,-0.40878883574054686,0.17930530987285495,-1.3005430004313996
03-15-2021_06-17-37,1.2514462198,-3.6634114006,7.467999334599999,-1.0082003507223494,0.10990120133651794,-0.7406741013150936
03-15-2021_06-17-37,-0.3158525832,-3.4504501891999997,10.3202438738,-0.3211133115973942,0.1217639860961669,-0.2758438341237913
03-15-2021_06-17-38,1.1006983959999999,-5.4341001246,13.033704702199998,-0.5523694374866429,-0.7046766854927106,0.005863215455918451
03-15-2021_06-17-38,2.2564317118,-6.206981824399999,7.917849983399999,0.5115996369908379,-0.6907685930158808,1.1230102905801014
03-15-2021_06-17-38,3.553341561,-2.2013967919999997,10.693524199399999,0.47110254419065695,0.43210534371640863,0.3976078202199582
03-15-2021_06-17-38,1.2011969452,-4.591826569399999,7.759923691799999,0.02031672332399649,0.27707101875409984,0.7199483164476609
03-15-2021_06-17-38,2.045863323,-5.156532702999999,7.140182638399999,-0.5508695451607103,0.5631413914637954,0.5559146375297563
03-15-2021_06-17-38,0.4378865357999999,-4.5415772948,12.162717275799999,0.13458124779050026,0.6479534848028948,0.433059820651093
03-15-2021_06-17-38,-1.6438691261999998,-7.9393853868,9.308079914,0.44983134393197605,0.9227064881441897,-0.9955194428758282
03-15-2021_06-17-38,-1.3854442853999998,-3.5892338999999995,8.977870395199998,0.6480898386507069,0.47778388273344774,-0.8841183492133775
03-15-2021_06-17-38,-0.32303105099999996,-2.787638329,10.3202438738,0.3887448201121745,-0.014317154020265985,-1.3233140930160132
03-15-2021_06-17-38,0.7082754896,-3.5030922863999994,10.3393864546,0.29411524973060693,-0.3138865576633552,-1.9052723154778723
03-15-2021_06-17-38,-0.22971096959999998,-4.5032921331999995,8.422735551999999,-0.3028418959905786,-0.10267444740247891,-1.1892782606167611
03-15-2021_06-17-38,0.5718846014,-3.026920589,8.092526033199999,-0.4374231437810788,-0.040088031256744754,-0.5115996369908379
03-15-2021_06-17-38,1.124626622,-3.5940195451999997,9.427721044,-0.6832691313862176,-0.7926249173314873,-1.1988230299636051
03-15-2021_06-17-38,3.7543386593999997,-5.094319315399999,9.6000042712,-0.44683155928011076,-0.5698227300065862,-0.45651268247476684
03-15-2021_06-17-38,5.106283428399999,-3.4695927699999998,9.0185483794,0.23234695667174513,0.21230294104337274,-0.3901083585902951
03-15-2021_06-17-39,0.6508477471999999,-4.1563328562,10.801201216399999,0.6824510082993452,0.6963591007761751,-0.4949644675577669
03-15-2021_06-17-39,3.1441688964,5.484349399199999,10.973484443599999,-1.296316031149226,0.1109920321190144,-1.2866349079545698
03-15-2021_06-17-39,5.5704910128,-6.8937219106,7.9322069189999995,-1.0606965821299914,-1.1296916291228922,-0.4642848518000541
03-15-2021_06-17-39,6.532405697999999,-7.185646267799999,8.9180498302,0.22743821815051107,0.6527258694763168,0.4686481749300399
03-15-2021_06-17-39,1.8735800958,-6.343372712599999,8.977870395199998,0.7811711941152746,0.9040260109939379,1.1256010136885306
03-15-2021_06-17-39,0.6891329088,-2.0673987264,9.5066841898,1.1104657365813921,0.7907159634621185,0.8267133792845016
03-15-2021_06-17-39,-1.0265208953999998,-3.888336725,9.714859756,0.5027366368830541,0.06926775468852496,-0.590957576417455
03-15-2021_06-17-39,3.1393832511999995,-2.9407789753999998,10.4063854874,0.7173575933392319,1.1542353217290624,0.3354304656176602
03-15-2021_06-17-39,-0.031106693799999998,0.83748791,10.894521297799999,1.3449943548181302,2.447824275922047,0.5696863761587742
03-15-2021_06-17-39,-5.158925525599999,0.05503491979999999,10.004391290600001,-0.8961174878208386,-1.0462430742619133,-0.6663612542575226
03-15-2021_06-17-39,2.6871397797999994,-5.790630692,10.660024682999998,-0.6929502545808737,-0.5700954377022103,-0.34661148113824886
03-15-2021_06-17-39,-0.9571290399999999,-2.3880369548,10.080961613799998,0.13362677085581587,0.5522330836388308,-0.1382628016814258
03-15-2021_06-17-39,0.22013967919999997,-2.9359933301999996,9.918249676999999,0.29316077279592256,0.38724492778624187,-0.15735234037511378
03-15-2021_06-17-39,0.4331008906,-3.1800612353999997,9.7914300792,0.5159629601208237,0.6888596391465119,-0.1471258017892095
03-15-2021_06-17-39,-2.5627130046,-0.33499516399999996,10.4590275846,-0.04404229284329441,-0.18216874067690814,-0.11140109366245056
03-15-2021_06-17-39,0.8303094421999999,-3.1537401868,10.2556376636,0.20180369476184434,0.06354089308041856,-0.16498815585258897
03-15-2021_06-17-40,-0.430708068,-2.3306092123999997,9.848857821600001,0.8771643029749626,0.784716394158388,-0.5154175447295755
03-15-2021_06-17-40,-1.8616159827999998,-0.993021379,11.703295336599998,0.5141903600992669,0.46442120564786615,-0.7446283629016432
03-15-2021_06-17-40,0.09571290399999999,-2.5268206656,10.4183496004,-0.07117670855789375,0.06231370845011005,-0.3380211887260893
03-15-2021_06-17-40,0.5024927459999999,-0.7944171031999999,9.6263253198,-0.17153314054756771,0.2992966959474651,-0.06408630847166678
03-15-2021_06-17-40,-2.2061824372,0.07178467799999999,9.477970318599999,-0.09749300118562075,0.09762935503343281,0.0944932165337555
03-15-2021_06-17-40,-3.0699913958,-0.6197410534,8.9587278144,-0.89952633401614,-0.6457718232379019,-0.18885007921969893
03-15-2021_06-17-40,1.5577275125999999,-5.4029934308,11.1003040414,-0.17166949439537976,-1.5112096953010277,0.2346649720845501
03-15-2021_06-17-40,-1.3256237203999999,-0.0430708068,10.8705930718,-0.07949429327442922,0.3202951885105219,1.160643952576229
03-15-2021_06-17-40,-1.6151552549999997,-1.543370577,10.6337036344,-0.1820323868290961,-0.2562088800388551,0.6667703158009587
03-15-2021_06-17-40,-1.8329021115999997,-0.39242290639999994,8.49452023,-0.5293256372064052,-1.0921943209745766,0.9636126424878068
03-15-2021_06-17-40,1.4189438017999998,-4.680361005599999,8.930013943199999,-1.516527495365698,-1.4918474489117155,0.7364471320329198
03-15-2021_06-17-40,2.7445675222,-2.3832513096,10.430313713399999,-0.3050235575555715,-0.7258115319035794,1.2954979080623534
03-15-2021_06-17-40,-1.0935199281999999,0.7106683122,10.191031453399999,0.47451139038595835,0.11930961683554987,1.703195913020404
03-15-2021_06-17-40,-1.7898313048,-2.7852455064,14.71585899,-0.6209554229361075,0.18025978680753935,1.71751306704067
03-15-2021_06-17-40,0.7034898444,0.8039883936,16.3142644868,-0.40537998954524546,-2.1194842103906137,1.8028705757710175
03-15-2021_06-17-40,1.8520446923999998,-6.1088760978,12.208180905199999,-0.2349376797801742,-1.6826064820007833,0.8571202873465903
03-15-2021_06-17-40,-0.7369893607999999,-1.8472590472,10.025926693999999,0.4638757902566179,-0.19703131008842237,1.736466251886546
03-15-2021_06-17-41,-2.5028924396,4.620540440599999,12.0406833232,-0.0748582624488193,0.027407123410223458,0.16512450970040102
03-15-2021_06-17-41,1.0815558152,2.9838497821999996,9.188438783999999,-0.552778499030079,0.16485180200477692,-0.2716168648416175
03-15-2021_06-17-41,1.160518961,-5.335994397999999,10.516455326999997,-1.1846422297911512,-0.5943664226127564,0.48487428281967465
03-15-2021_06-17-41,-4.2544385828,-11.665010174999999,5.324030284999999,-0.04581489286485115,-0.1604884788747911,0.8999353955595761
03-15-2021_06-17-41,0.4259224228,-8.7768732968,6.4438712618,0.567095653050345,-2.2911537047859936,0.9790206272905693
03-15-2021_06-17-41,7.814958611599999,-3.0412775246,8.831908216599999,0.9581584885753245,-1.0377891356975657,1.5871587885323435
03-15-2021_06-17-41,2.9336005076,-1.5768700934,10.009176935799998,0.9351146882950869,0.07881252403536894,1.8235963606384502
03-15-2021_06-17-41,1.0959127508,-2.9264220398,7.4967132058,1.0237446893729238,0.078948877883181,1.1636437372280943
03-15-2021_06-17-41,-1.4165509792,-0.14356935599999998,10.269994599199999,-0.03940626201768447,0.5969571457211855,0.887527195408679
03-15-2021_06-17-41,3.8213376921999997,-2.2420747762,10.234102260199998,-0.5691409607675258,0.15762504807073788,0.5484151759000933
03-15-2021_06-17-41,-5.479563754,-3.4552358344,13.765908417799999,1.200731983832974,1.3387220778187756,-2.076669102177628
03-15-2021_06-17-41,-6.750152554599999,-5.520241738199999,14.036297371599998,0.2927517112524864,-0.4622395440828732,-1.263182046130896
03-15-2021_06-17-41,0.9858429111999999,-1.0504491214,8.965906282199999,-0.14467143252859246,-0.3520656350507312,-0.09094801649064202
03-15-2021_06-17-41,-1.0743773474,-3.6179477711999994,10.0953185494,0.8068057175039413,-0.18094155604659964,-1.8942276538050957
03-15-2021_06-17-41,-1.1892328321999999,-4.6707897152,8.4681991814,-0.2660263570813232,0.6840872544730899,-0.17739635600348616
03-15-2021_06-17-41,1.6366906583999998,-0.42352960019999997,10.085747258999998,-0.12408200150897186,0.029316077279592255,-0.7706719478337462
03-15-2021_06-17-41,0.08135596839999999,-1.9716858223999998,10.001998467999998,-0.21925698728178766,0.2782982033844083,-0.39419897402465676
03-15-2021_06-17-42,-1.9046867896,-4.259224228,10.6337036344,0.02086213871524472,0.08194866253504625,0.1505346479845109
03-15-2021_06-17-42,2.9048866363999997,-1.016949605,10.260423308799998,0.13526301702956053,-0.404289158762749,-0.605411084285533
03-15-2021_06-17-42,-1.4261222696,-3.7471601916,9.6095755616,-0.03749730814831567,0.015135277107138327,-0.8519388411297321
03-15-2021_06-17-42,1.3974083983999999,-2.5674986497999996,8.6596249894,-0.3294308963139297,-0.980929581159938,-0.1366265555076811
03-15-2021_06-17-42,1.9118652573999997,-4.0223347905999995,8.602197247,-0.24802764917013168,-0.4870559443846676,0.5443245604657315
03-15-2021_06-17-42,4.0845481781999995,-4.5870409242,8.6285182956,-0.4164246512180221,0.9123435957104734,-0.29316077279592256
03-15-2021_06-17-42,0.8973084749999999,-3.038884702,10.274780244399999,-0.4312872206295363,0.46442120564786615,-0.08808458568658882
03-15-2021_06-17-42,-1.0217352502,-6.1902320662,12.2608230024,0.5300074064454655,0.6724971774090651,-0.8383034563485264
03-15-2021_06-17-42,-2.9264220398,-2.7948167967999997,10.815558152,0.6557256541281821,0.09394780114250727,-0.770126532442498
03-15-2021_06-17-42,-0.562313311,-3.9553357577999995,9.583254513,0.27352581871098636,-0.46155777484381294,0.15667057113605348
03-15-2021_06-17-42,1.9142580799999998,-0.6005984726,10.5475620208,0.652998577171941,-0.32288591161895097,-0.7956247019833526
03-15-2021_06-17-42,-1.1222337993999998,-1.2179467034,9.576076045199999,0.37279141991816384,0.046496662103911436,-0.4064708203277419
03-15-2021_06-17-42,-0.3062812928,0.3756731482,9.611968384199999,-0.9359328113819593,-0.3092505268377453,-0.26779895710287993
03-15-2021_06-17-42,0.681954441,-7.925028451199999,8.913264185,-0.5593234837250578,0.04213333897392561,-0.48910125210184846
03-15-2021_06-17-42,3.1872397032,-3.9792639837999992,10.693524199399999,0.18912278691532305,0.4299236821514157,-0.660361684953792
03-15-2021_06-17-42,0.0430708068,-3.3690942207999997,9.5856473356,0.23657392595391888,0.43510512836827386,-0.2720259263850537
03-15-2021_06-17-42,1.519442351,-2.3521446158,9.865607579799999,0.000545415391248228,-0.21925698728178766,-0.5964117303299373
03-15-2021_06-17-43,1.5792629159999998,-3.086741154,10.260423308799998,0.27229863408067784,0.48460157512405055,-0.7526732399225546
03-15-2021_06-17-43,1.0241280728,-1.8735800958,10.0953185494,-0.10144726277217041,-0.17521469443849325,-0.3126593730330467
03-15-2021_06-17-43,1.3280165429999997,-1.1653046061999999,9.7292166916,-0.5456880989438521,0.2131210641302451,-0.39269908169872414
03-15-2021_06-17-43,1.7611174335999997,-4.9938207662,10.648060569999998,-0.4004712510240114,0.22143864884678055,-0.35329281968103965
03-15-2021_06-17-43,-0.3182454058,-4.4554356812,8.6333039408,0.12721814000864917,0.06381360077604267,-0.5388704065532492
03-15-2021_06-17-43,2.3497517932,-2.5938196984,10.1742816952,0.05113269292952137,-0.014589861715890098,-0.6156376228714373
03-15-2021_06-17-43,0.2919243572,-3.0604201054,10.0546405652,0.030270554214276654,0.14603497100671303,-0.43510512836827386
03-15-2021_06-17-43,1.184447187,-2.8809584103999994,10.662417505599999,-0.32997631170517794,-0.2492548338004402,-0.4211970358914441
03-15-2021_06-17-43,1.0671988796,-3.5820554322,9.2578306394,-0.2980695113171566,-0.1547616172666847,-0.4918283290580896
03-15-2021_06-17-43,0.47856451999999994,-3.1968109935999998,10.061819032999999,-0.17726000215567408,-0.40551634339305753,-0.485556052058735
03-15-2021_06-17-43,1.4835500119999998,-3.1920253484,10.248459195799999,-0.15339807878856412,0.005317800064670222,-0.26111761856008914
03-15-2021_06-17-43,1.184447187,-3.0340990567999997,10.1072826624,-0.07663086247037604,0.06599526234103559,-0.2352103874757983
03-15-2021_06-17-43,0.9762716208,-2.9742784918,9.580861690399999,-0.11944597068336194,-0.02304380028023763,-0.17507834059068117
03-15-2021_06-17-43,1.4261222696,-3.1178478478,9.997212822799998,-0.2688897878853764,-0.11290098598838319,-0.2812979880362736
03-15-2021_06-17-43,0.8183453291999999,-3.0412775246,9.8919286284,-0.20521254095714578,-0.2664354186247594,-0.008863000107783705
03-15-2021_06-17-44,2.5579273594,-3.5916267226,9.592825803399998,-0.2859340188618835,-0.3933808509377844,0.02945243112740431
03-15-2021_06-17-44,2.703889538,-4.206582130799999,9.583254513,-0.04513312362579087,-0.07663086247037604,-0.23575580286704653
03-15-2021_06-17-44,2.6632115537999996,-3.6610185779999997,9.442077979599999,-0.2000310947402876,0.10444704742403566,-0.32138601929301835
03-15-2021_06-17-44,2.4813570361999995,-3.8213376921999997,9.542576528799998,-0.17194220209100386,-0.04254240051736178,-0.3027055421427665
03-15-2021_06-17-44,2.4717857457999997,-3.6514472876,9.7938229018,-0.19894026395779116,0.01677152328088301,-0.2962969112955999
03-15-2021_06-17-44,2.6991038927999997,-3.8644084989999996,9.5162554802,-0.1246274169002201,0.09176613957751435,-0.26275386473383383
03-15-2021_06-17-44,2.3449661479999997,-3.7304104334,9.387043059799998,-0.034770231192074535,0.18148697143784787,-0.1407171709420428
03-15-2021_06-17-44,2.1702900981999997,-3.6394831746,9.3009014462,-0.05835944686356039,0.15162547876700738,-0.13744467859455345
