time,g_x,g_y,g_z,a_x,a_y,a_z
03-12-2021_04-30-11,6.5036918268,-4.077369710399999,6.570690859599999,0.078125,0.265625,0.953125
03-12-2021_04-30-11,6.597011908199999,-4.1706897918,6.594619085599999,0.625,0.40625,0.359375
03-12-2021_04-30-11,6.5611195692,-4.106083581599999,6.604190376,1.2734375,-0.0859375,0.390625
03-12-2021_04-30-11,6.597011908199999,-4.139583098,6.5850477951999995,0.265625,0.2265625,0.6953125
03-12-2021_04-30-11,6.597011908199999,-4.1946180178,6.5659052144,0.5546875,0.4609375,0.2421875
03-12-2021_04-30-11,6.6185473115999995,-4.113262049399999,6.575476504799999,0.1328125,0.0546875,0.484375
03-12-2021_04-30-11,6.5898334404,-4.1659041466,6.5898334404,0.2421875,0.1484375,0.125
03-12-2021_04-30-11,6.616154489,-4.1491543883999995,6.573083682199999,0.265625,0.203125,0.953125
03-12-2021_04-30-11,6.558726746599999,-4.1611185014,6.532405697999999,0.59375,0.3125,1.015625
03-12-2021_04-30-12,6.630511424599999,-4.0582271296,6.6017975534,0.2421875,0.0625,0.703125
03-12-2021_04-30-12,6.5994047308,-4.1659041466,6.597011908199999,0.2578125,-0.0546875,0.5546875
03-12-2021_04-30-12,6.5994047308,-4.146761565799999,6.546762633599999,0.265625,0.171875,0.8046875
03-12-2021_04-30-12,6.608976021199999,-4.1611185014,6.549155456199999,0.6796875,-0.015625,0.703125
03-12-2021_04-30-12,6.6017975534,-4.2185462438,6.568298036999999,0.6171875,0.171875,0.953125
03-12-2021_04-30-12,6.549155456199999,-4.1563328562,6.594619085599999,0.1015625,0.4765625,0.546875
03-12-2021_04-30-12,6.635297069799999,-4.2113677759999995,6.573083682199999,0.7265625,0.2421875,0.8125
03-12-2021_04-30-12,6.5300128754,-4.1563328562,6.5611195692,0.6953125,-0.1953125,0.453125
03-12-2021_04-30-12,6.592226263,-4.1706897918,6.58026215,0.640625,0.203125,0.7265625
03-12-2021_04-30-12,6.6233329568,-4.173082614399999,6.5539411013999995,0.9921875,0.3203125,0.3046875
03-12-2021_04-30-12,6.616154489,-4.175475436999999,6.5874406178,0.859375,0.1953125,0.3046875
03-12-2021_04-30-12,6.568298036999999,-4.1659041466,6.5635123918,0.484375,0.171875,0.8046875
03-12-2021_04-30-12,6.5898334404,-4.1587256788,6.573083682199999,0.59375,0.125,0.6484375
03-12-2021_04-30-12,6.592226263,-4.197010840399999,6.5300128754,0.53125,0.15625,0.2578125
03-12-2021_04-30-12,6.5898334404,-4.1802610821999995,6.575476504799999,0.3125,0.1796875,0.3046875
03-12-2021_04-30-12,6.592226263,-4.146761565799999,6.570690859599999,0.5390625,0.15625,0.8671875
03-12-2021_04-30-12,6.597011908199999,-4.1706897918,6.5635123918,0.8125,0.1796875,0.625
03-12-2021_04-30-12,6.5994047308,-4.168296969199999,6.534798520599999,1.0078125,0.5078125,0.5234375
03-12-2021_04-30-13,6.573083682199999,-4.1778682596,6.570690859599999,0.75,-0.0546875,0.7421875
03-12-2021_04-30-13,6.608976021199999,-4.2209390664,6.549155456199999,0.53125,-0.171875,0.796875
03-12-2021_04-30-13,6.594619085599999,-4.1012979364,6.5635123918,1.2421875,-0.5078125,0.3359375
03-12-2021_04-30-13,6.608976021199999,-4.199403663,6.5252272302,1.15625,-0.203125,0.21875
03-12-2021_04-30-13,6.5994047308,-4.151547211,6.544369810999999,2.0,0.078125,0.328125
