time,g_x,g_y,g_z,a_x,a_y,a_z
01-31-2021_06-30-46,10.382457261399999,-16.6396883604,18.262022083199998,1.375,-1.796875,0.1953125
01-31-2021_06-30-46,5.6614182716,-0.5718846014,-7.7455667562,-1.7109375,0.1484375,3.5703125
01-31-2021_06-30-46,5.7044890784,-0.5479563754,-7.6522466748,-2.3359375,-0.1484375,4.9765625
01-31-2021_06-30-46,5.599204884,-0.5264209719999999,-7.8341011923999995,0.125,-0.8828125,3.0625
01-31-2021_06-30-46,5.551348432,-0.6029912951999999,-7.886743289599999,2.34375,0.8125,-0.53125
01-31-2021_06-30-46,5.678168029799999,-0.6149554081999999,-7.755138046599999,3.5078125,1.2578125,-3.03125
01-31-2021_06-30-47,5.735595772199999,-0.6077769404,-7.759923691799999,4.1875,0.34375,-2.4140625
01-31-2021_06-30-47,5.702096255799999,-0.7657032319999999,-7.6881390138,3.765625,1.0625,-1.984375
01-31-2021_06-30-47,5.7858450468,-0.7968099258,-7.798208853399999,2.53125,-0.0546875,-1.3671875
01-31-2021_06-30-47,5.694917788,-0.6077769404,-7.697710304199999,-1.203125,-0.109375,3.796875
01-31-2021_06-30-47,5.699703433199999,-0.6747759731999999,-7.733602643199999,-1.640625,-0.7734375,5.0390625
01-31-2021_06-30-47,5.6231331099999995,-0.681954441,-7.7838519178,-0.890625,-0.8046875,4.3515625
01-31-2021_06-30-47,5.680560852399999,-0.6436692794,-7.8436724828,0.3984375,-2.1875,2.8984375
01-31-2021_06-30-47,5.4963135121999995,-0.5168496816,-7.697710304199999,2.84375,-1.2265625,1.328125
01-31-2021_06-30-47,5.6925249654,-0.7082754896,-7.743173933599999,2.7109375,-0.2578125,0.734375
01-31-2021_06-30-47,5.6877393201999995,-0.7848458127999999,-7.7383882883999995,3.0390625,-1.484375,0.515625
01-31-2021_06-30-47,5.6901321428,-0.849452023,-7.795816030799999,2.7421875,-0.6015625,1.7109375
01-31-2021_06-30-47,5.7499527077999995,-0.8542376682,-7.7694949821999995,0.6171875,-0.7890625,2.09375
01-31-2021_06-30-47,5.5920264161999995,-0.8207381518,-7.728816997999999,-1.2890625,-2.0078125,3.65625
01-31-2021_06-30-47,5.615954642199999,-0.6628118601999999,-7.7479595788,-2.1875,-1.0078125,6.375
01-31-2021_06-30-47,5.556134077199999,-0.8159525066,-7.865207886199999,-1.5078125,-1.84375,5.1640625
01-31-2021_06-30-47,5.6327044004,-0.7345965381999999,-7.917849983399999,-1.2734375,-3.515625,2.9375
01-31-2021_06-30-47,5.347958510999999,-0.6436692794,-7.8077801438,2.015625,-3.28125,0.5546875
01-31-2021_06-30-48,5.5130632704,-0.6771687958,-7.879564821799999,3.8671875,-0.703125,-2.03125
01-31-2021_06-30-48,5.575276658,-0.8207381518,-7.848458128,5.5625,-1.390625,-3.890625
01-31-2021_06-30-48,5.3934221404,-0.861416136,-7.862815063599999,6.171875,-2.46875,-2.3125
01-31-2021_06-30-48,5.587240771,-1.0815558152,-7.848458128,3.1015625,0.3515625,-1.0078125
01-31-2021_06-30-48,5.3575298014,-1.0121639597999998,-7.910671515599999,0.6796875,-1.984375,0.59375
01-31-2021_06-30-48,5.362315446599999,-0.8662017812,-7.886743289599999,-2.3671875,-0.515625,3.078125
01-31-2021_06-30-48,5.335994397999999,-0.8303094421999999,-7.968099258,-1.4921875,-0.4375,2.1640625
01-31-2021_06-30-48,5.314458994599999,-0.7920242806,-7.9417782094,-0.765625,0.1171875,0.3515625
01-31-2021_06-30-48,5.3431728658,-0.5982056499999999,-7.814958611599999,1.2734375,0.796875,-1.15625
01-31-2021_06-30-48,5.584847948399999,-0.7609175867999999,-7.819744256799999,3.7734375,-0.8515625,-2.4140625
01-31-2021_06-30-48,5.350351333599999,-0.9044869427999999,-7.858029418399999,2.7890625,-0.1328125,-1.8359375
01-31-2021_06-30-48,5.635097223,-1.0097711372,-7.9393853868,1.40625,1.2890625,-0.5703125
01-31-2021_06-30-48,5.4508498828,-0.8709874263999998,-7.8341011923999995,-1.390625,0.7109375,1.1640625
01-31-2021_06-30-48,5.3431728658,-0.7872386353999999,-7.874779176599999,-2.0703125,0.1953125,4.4375
01-31-2021_06-30-48,5.424528834199999,-0.8135596839999999,-7.9058858704,-2.625,-0.5703125,5.1953125
01-31-2021_06-30-48,5.486742221799999,-0.9523433948,-7.936992564199999,-1.3984375,-2.6171875,2.7265625
01-31-2021_06-30-48,5.3048877041999996,-0.6987041991999999,-7.9393853868,0.59375,-1.90625,0.3359375
