time,g_x,g_y,g_z,a_x,a_y,a_z
01-16-2021_14-52-23,-1.3447663012,-1.9932212257999997,-9.131011041599999,0.484375,0.0390625,0.671875
01-16-2021_14-52-23,-1.3304093656,-1.9980068709999999,-9.1094756382,0.859375,0.171875,0.46875
01-16-2021_14-52-23,-1.3375878333999998,-2.0051853387999996,-9.128618219,0.8828125,0.1328125,0.484375
01-16-2021_14-52-23,-1.3232308977999998,-1.9956140483999998,-9.0975115252,0.6796875,0.25,0.546875
01-16-2021_14-52-23,-1.3304093656,-1.9980068709999999,-9.131011041599999,0.34375,-0.046875,0.5625
01-16-2021_14-52-23,-1.3399806559999998,-1.9884355805999998,-9.104689993,0.8359375,0.390625,0.5859375
01-16-2021_14-52-23,-1.3256237203999999,-1.9980068709999999,-9.1238325738,0.6015625,0.2421875,0.5859375
01-16-2021_14-52-23,-1.3232308977999998,-1.9764714676,-9.09272588,0.6875,0.359375,0.5859375
01-16-2021_14-52-23,-1.3328021881999998,-1.9908284031999999,-9.1094756382,0.53125,0.296875,0.484375
01-16-2021_14-52-23,-1.3256237203999999,-2.0051853387999996,-9.1238325738,0.7734375,0.3125,0.4453125
01-16-2021_14-52-24,-1.3328021881999998,-2.0003996936,-9.099904347799999,1.1015625,0.40625,0.765625
01-16-2021_14-52-24,-1.3328021881999998,-1.9908284031999999,-9.147760799799999,0.4609375,0.203125,0.5234375
01-16-2021_14-52-24,-1.3375878333999998,-1.9932212257999997,-9.116654106,0.3359375,0.0390625,0.640625
01-16-2021_14-52-24,-1.3351950108,-1.9932212257999997,-9.104689993,0.6484375,0.1953125,0.6015625
01-16-2021_14-52-24,-1.3280165429999997,-1.986042758,-9.126225396399999,0.75,0.390625,0.640625
01-16-2021_14-52-24,-1.3232308977999998,-1.9980068709999999,-9.121439751199999,0.515625,0.1015625,0.6640625
01-16-2021_14-52-24,-1.351944769,-1.9836499353999997,-9.133403864199998,1.0546875,0.328125,0.421875
01-16-2021_14-52-24,-1.351944769,-1.986042758,-9.166903380599999,0.53125,0.15625,0.4453125
01-16-2021_14-52-24,-1.3232308977999998,-1.9956140483999998,-9.1022971704,0.5078125,0.2421875,0.5390625
01-16-2021_14-52-24,-1.3543375916,-2.0003996936,-9.121439751199999,0.8359375,0.203125,0.265625
01-16-2021_14-52-24,-1.3184452526,-1.9932212257999997,-9.1238325738,0.703125,0.15625,0.5
01-16-2021_14-52-24,-1.3351950108,-1.9908284031999999,-9.107082815599998,0.4921875,0.203125,0.4453125
01-16-2021_14-52-24,-1.3543375916,-1.9956140483999998,-9.1142612834,0.859375,0.21875,0.5859375
01-16-2021_14-52-24,-1.3495519463999999,-1.9932212257999997,-9.1142612834,0.75,-0.0078125,0.7109375
01-16-2021_14-52-24,-1.3328021881999998,-1.9932212257999997,-9.107082815599998,0.9765625,0.4375,0.5390625
01-16-2021_14-52-24,-1.3328021881999998,-2.0003996936,-9.099904347799999,0.640625,0.1796875,0.8125
01-16-2021_14-52-24,-1.3328021881999998,-1.9884355805999998,-9.1453679772,1.0390625,0.0703125,0.6015625
01-16-2021_14-52-25,-1.3447663012,-2.0075781614,-9.1142612834,0.6171875,0.1796875,0.7734375
01-16-2021_14-52-25,-1.3280165429999997,-1.9956140483999998,-9.1094756382,0.53125,0.40625,0.3984375
01-16-2021_14-52-25,-1.3399806559999998,-1.9932212257999997,-9.1022971704,0.6640625,0.171875,0.6875
01-16-2021_14-52-25,-1.3160524299999998,-2.0003996936,-9.140582332,0.734375,0.265625,0.75
01-16-2021_14-52-25,-1.3399806559999998,-2.0003996936,-9.128618219,0.625,0.2421875,0.296875
01-16-2021_14-52-25,-1.3567304141999998,-1.9908284031999999,-9.099904347799999,0.8671875,0.2890625,0.5703125
01-16-2021_14-52-25,-1.3280165429999997,-1.9884355805999998,-9.111868460799998,0.515625,0.171875,0.7734375
01-16-2021_14-52-25,-1.3399806559999998,-1.9932212257999997,-9.1190469286,0.4453125,0.1796875,0.484375
01-16-2021_14-52-25,-1.3495519463999999,-1.9908284031999999,-9.133403864199998,1.1484375,0.2578125,0.609375
01-16-2021_14-52-25,-1.3304093656,-1.9956140483999998,-9.099904347799999,0.578125,0.390625,0.359375
01-16-2021_14-52-25,-1.3232308977999998,-1.9980068709999999,-9.1022971704,0.8203125,0.3203125,0.6640625
01-16-2021_14-52-25,-1.3160524299999998,-1.986042758,-9.09272588,0.8828125,0.1796875,0.5859375
01-16-2021_14-52-25,-1.3471591237999998,-1.9980068709999999,-9.1190469286,0.375,0.078125,0.5
01-16-2021_14-52-25,-1.351944769,-1.9956140483999998,-9.1022971704,0.75,0.5546875,0.484375
01-16-2021_14-52-25,-1.3495519463999999,-2.0003996936,-9.131011041599999,0.7734375,0.1796875,0.6015625
01-16-2021_14-52-25,-1.3160524299999998,-1.9884355805999998,-9.126225396399999,0.640625,0.34375,0.7265625
01-16-2021_14-52-26,-1.3280165429999997,-1.986042758,-9.1238325738,0.7578125,0.171875,0.421875
01-16-2021_14-52-26,-1.3280165429999997,-1.9956140483999998,-9.0975115252,0.7578125,0.359375,0.5
01-16-2021_14-52-26,-1.3447663012,-1.9908284031999999,-9.1549392676,0.1796875,0.3828125,0.640625
01-16-2021_14-52-26,-1.3399806559999998,-1.9956140483999998,-9.1238325738,0.3515625,0.125,0.546875
01-16-2021_14-52-26,-1.3304093656,-2.0075781614,-9.142975154599998,0.75,0.125,0.765625
01-16-2021_14-52-26,-1.3328021881999998,-1.9932212257999997,-9.133403864199998,0.3125,-0.09375,0.734375
01-16-2021_14-52-26,-1.3208380752,-1.9956140483999998,-9.116654106,0.7265625,0.1796875,0.625
01-16-2021_14-52-26,-1.3280165429999997,-1.9980068709999999,-9.126225396399999,0.8359375,0.484375,0.625
01-16-2021_14-52-26,-1.3256237203999999,-1.9980068709999999,-9.1381895094,1.0390625,0.4296875,0.3984375
01-16-2021_14-52-26,-1.3304093656,-1.9932212257999997,-9.131011041599999,0.59375,0.125,0.5234375
