time,g_x,g_y,g_z,a_x,a_y,a_z
01-18-2021_15-18-32,-7.633104093999999,1.088734283,5.6303115778,0.6328125,0.6640625,0.046875
01-18-2021_15-18-32,-7.925028451199999,1.1222337993999998,5.7451670626,1.046875,0.3515625,0.2578125
01-18-2021_15-18-32,-7.9393853868,1.136590735,5.766702466,1.1875,0.0703125,0.1328125
01-18-2021_15-18-32,-7.9417782094,1.1509476706,5.790630692,1.0546875,0.0234375,0.03125
01-18-2021_15-18-32,-7.9322069189999995,1.1222337993999998,5.740381417399999,0.6953125,-0.125,0.40625
01-18-2021_15-18-32,-7.925028451199999,1.1222337993999998,5.747559885199999,1.2109375,0.40625,0.328125
01-18-2021_15-18-32,-7.948956677199999,1.1437692028,5.766702466,0.9375,0.0625,0.0
01-18-2021_15-18-32,-7.9417782094,1.136590735,5.7834522241999995,0.8359375,-0.1875,0.359375
01-18-2021_15-18-32,-7.9322069189999995,1.1318050897999998,5.776273756399999,0.734375,0.46875,0.1796875
01-18-2021_15-18-33,-7.9298140963999995,1.1389835575999998,5.8169517405999995,0.953125,0.140625,0.3046875
01-18-2021_15-18-33,-7.936992564199999,1.1294122671999998,5.737988594799999,0.6875,0.0703125,0.265625
01-18-2021_15-18-33,-7.9393853868,1.1413763801999999,5.7332029496,0.8828125,0.03125,0.0078125
01-18-2021_15-18-33,-7.925028451199999,1.124626622,5.714060368799999,0.7109375,0.4296875,0.2421875
01-18-2021_15-18-33,-7.9393853868,1.1270194446,5.759523998199999,1.421875,0.2421875,0.2265625
01-18-2021_15-18-33,-7.946563854599999,1.124626622,5.7499527077999995,1.171875,0.1484375,0.2109375
01-18-2021_15-18-33,-7.960920790199999,1.1461620253999998,5.7882378694,1.03125,0.046875,0.328125
01-18-2021_15-18-33,-7.917849983399999,1.136590735,5.759523998199999,0.7421875,-0.2734375,0.140625
01-18-2021_15-18-34,-7.944171032,1.124626622,5.795416337199999,0.8671875,0.28125,0.3046875
01-18-2021_15-18-34,-7.927421273799999,1.136590735,5.771488111199999,1.0546875,0.5234375,0.1328125
01-18-2021_15-18-34,-7.925028451199999,1.1294122671999998,5.7643096434,1.09375,0.1640625,0.2265625
01-18-2021_15-18-34,-7.922635628599999,1.1318050897999998,5.7690952886,0.9609375,0.3125,0.3671875
01-18-2021_15-18-34,-7.9322069189999995,1.1389835575999998,5.7212388366,1.3046875,0.40625,0.234375
01-18-2021_15-18-34,-7.9417782094,1.1341979124,5.74277424,1.2109375,0.1640625,0.28125
01-18-2021_15-18-34,-7.917849983399999,1.1341979124,5.778666578999999,0.9375,0.203125,0.34375
01-18-2021_15-18-34,-7.9417782094,1.1294122671999998,5.776273756399999,0.7890625,0.359375,0.15625
01-18-2021_15-18-34,-7.9417782094,1.1318050897999998,5.7523455303999995,1.2109375,0.3515625,0.1015625
01-18-2021_15-18-35,-7.944171032,1.1413763801999999,5.7690952886,0.8125,0.390625,0.3046875
01-18-2021_15-18-35,-7.9298140963999995,1.1270194446,5.7523455303999995,0.6796875,0.3828125,-0.03125
01-18-2021_15-18-35,-7.9322069189999995,1.1270194446,5.7834522241999995,0.6796875,0.3125,0.2890625
01-18-2021_15-18-35,-7.934599741599999,1.1150553316,5.771488111199999,0.8125,0.375,0.2265625
01-18-2021_15-18-35,-7.9298140963999995,1.124626622,5.7858450468,0.8828125,0.28125,-0.0078125
01-18-2021_15-18-35,-7.9298140963999995,1.1437692028,5.74277424,0.7890625,0.1484375,0.3359375
01-18-2021_15-18-35,-7.920242806,1.1318050897999998,5.7930235146,0.875,-0.046875,0.1953125
01-18-2021_15-18-35,-7.9298140963999995,1.136590735,5.7643096434,0.5703125,0.0703125,0.0859375
01-18-2021_15-18-36,-7.934599741599999,1.1198409768,5.7834522241999995,1.2578125,0.28125,0.3359375
01-18-2021_15-18-36,-7.934599741599999,1.1270194446,5.7571311756,1.078125,0.2734375,0.0859375
01-18-2021_15-18-36,-7.9417782094,1.1294122671999998,5.747559885199999,1.0546875,0.1640625,0.28125
01-18-2021_15-18-36,-7.946563854599999,1.1294122671999998,5.778666578999999,0.859375,0.3125,0.1796875
01-18-2021_15-18-36,-7.922635628599999,1.1413763801999999,5.7690952886,0.9765625,0.0078125,0.421875
01-18-2021_15-18-36,-7.9393853868,1.1461620253999998,5.766702466,1.2109375,0.140625,0.0703125
01-18-2021_15-18-36,-7.9393853868,1.1413763801999999,5.747559885199999,0.734375,-0.0078125,0.3828125
01-18-2021_15-18-36,-7.9417782094,1.1389835575999998,5.778666578999999,0.90625,0.2421875,0.1796875
01-18-2021_15-18-36,-7.951349499799999,1.1198409768,5.800201982399999,1.0703125,-0.3515625,0.1953125
01-18-2021_15-18-37,-7.9298140963999995,1.1270194446,5.7643096434,1.5625,0.1875,0.0859375
01-18-2021_15-18-37,-7.951349499799999,1.1413763801999999,5.766702466,0.8125,0.109375,0.1640625
01-18-2021_15-18-37,-7.946563854599999,1.1341979124,5.790630692,1.046875,0.3125,0.28125
01-18-2021_15-18-37,-7.934599741599999,1.1413763801999999,5.7930235146,1.3984375,0.21875,0.109375
01-18-2021_15-18-37,-7.946563854599999,1.1318050897999998,5.766702466,1.0234375,0.125,0.0703125
01-18-2021_15-18-37,-7.9322069189999995,1.1461620253999998,5.754738353,1.28125,0.453125,0.203125
01-18-2021_15-18-37,-7.944171032,1.1270194446,5.7834522241999995,0.9765625,0.28125,0.046875
01-18-2021_15-18-37,-7.9322069189999995,1.136590735,5.7690952886,1.1640625,0.359375,-0.171875
01-18-2021_15-18-37,-7.927421273799999,1.1270194446,5.761916820799999,1.171875,0.1953125,0.203125
01-18-2021_15-18-38,-7.951349499799999,1.1222337993999998,5.790630692,0.9140625,0.234375,0.15625
01-18-2021_15-18-38,-7.934599741599999,1.124626622,5.7571311756,0.890625,0.125,0.2421875
01-18-2021_15-18-38,-7.9417782094,1.1341979124,5.7499527077999995,0.6875,0.203125,0.2578125
01-18-2021_15-18-38,-7.948956677199999,1.1174481541999999,5.74277424,0.8359375,0.2734375,0.3125
01-18-2021_15-18-38,-7.934599741599999,1.1198409768,5.730810127,1.0859375,-0.0859375,0.015625
01-18-2021_15-18-38,-7.927421273799999,1.1318050897999998,5.790630692,1.078125,0.3515625,0.2578125
01-18-2021_15-18-38,-7.9393853868,1.1222337993999998,5.773880933799999,0.859375,0.2421875,0.1484375
01-18-2021_15-18-38,-7.934599741599999,1.1150553316,5.74277424,0.6796875,-0.015625,0.0234375
01-18-2021_15-18-38,-7.922635628599999,1.1198409768,5.7571311756,1.140625,0.28125,0.1796875
