time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_14-29-31,-7.2670022362,-2.5914268758,-5.448457060199999,-0.09375,0.109375,0.7109375
05-18-2020_14-29-31,-7.2646094136,-2.5818555854,-5.4508498828,-0.1875,-0.046875,0.5078125
05-18-2020_14-29-31,-7.269395058799999,-2.5770699402,-5.426921656799999,0.1796875,-0.140625,0.4296875
05-18-2020_14-29-31,-7.257430945799999,-2.5770699402,-5.4293144793999994,0.265625,-0.1015625,0.6015625
05-18-2020_14-29-32,-7.271787881399999,-2.5603201819999994,-5.407779076,0.0,-0.109375,0.1328125
05-18-2020_14-29-32,-7.269395058799999,-2.5746771176,-5.431707302,0.3046875,-0.078125,0.34375
05-18-2020_14-29-32,-7.271787881399999,-2.5842484079999997,-5.422136011599999,-0.3125,-0.109375,0.3046875
05-18-2020_14-29-32,-7.271787881399999,-2.5746771176,-5.4341001246,0.0390625,-0.0859375,0.34375
05-18-2020_14-29-32,-7.269395058799999,-2.5746771176,-5.4173503664,-0.015625,0.1171875,0.296875
05-18-2020_14-29-32,-7.2598237683999995,-2.5914268758,-5.410171898599999,-0.09375,0.2109375,0.65625
05-18-2020_14-29-32,-7.262216591,-2.5818555854,-5.458028350599999,-0.390625,-0.2109375,0.3359375
05-18-2020_14-29-32,-7.269395058799999,-2.5770699402,-5.426921656799999,0.015625,-0.0625,0.59375
05-18-2020_14-29-32,-7.281359171799999,-2.5890340532000002,-5.426921656799999,-0.1796875,0.046875,0.25
05-18-2020_14-29-33,-7.276573526599999,-2.5770699402,-5.455635528,-0.078125,-0.0546875,0.046875
05-18-2020_14-29-33,-7.2789663492,-2.5698914724,-5.446064237599999,-0.3203125,0.2734375,0.1171875
05-18-2020_14-29-33,-7.257430945799999,-2.5722842949999998,-5.422136011599999,-0.109375,0.0546875,0.6015625
05-18-2020_14-29-33,-7.271787881399999,-2.5914268758,-5.443671415,-0.3203125,0.0078125,0.2109375
05-18-2020_14-29-33,-7.2598237683999995,-2.5746771176,-5.467599641,-0.2734375,0.046875,0.171875
05-18-2020_14-29-33,-7.281359171799999,-2.5842484079999997,-5.426921656799999,0.1171875,-0.109375,0.234375
05-18-2020_14-29-33,-7.281359171799999,-2.5674986497999996,-5.424528834199999,-0.0859375,-0.09375,0.34375
05-18-2020_14-29-33,-7.286144816999999,-2.5818555854,-5.443671415,-0.046875,0.1796875,0.515625
05-18-2020_14-29-33,-7.262216591,-2.5842484079999997,-5.426921656799999,-0.265625,-0.1484375,0.125
05-18-2020_14-29-34,-7.2646094136,-2.5890340532000002,-5.446064237599999,0.078125,0.1875,0.484375
05-18-2020_14-29-34,-7.2646094136,-2.5866412305999997,-5.4508498828,-0.109375,-0.09375,0.046875
05-18-2020_14-29-34,-7.281359171799999,-2.5818555854,-5.443671415,0.3046875,0.015625,0.5859375
05-18-2020_14-29-34,-7.281359171799999,-2.5818555854,-5.424528834199999,-0.1328125,0.21875,0.4453125
05-18-2020_14-29-34,-7.2598237683999995,-2.5866412305999997,-5.419743189,-0.03125,0.15625,0.421875
05-18-2020_14-29-34,-7.269395058799999,-2.5890340532000002,-5.4628139957999995,0.1171875,-0.171875,0.5625
05-18-2020_14-29-34,-7.274180703999999,-2.5938196984,-5.4508498828,-0.375,0.0546875,0.515625
05-18-2020_14-29-34,-7.281359171799999,-2.5842484079999997,-5.4293144793999994,-0.25,-0.0546875,0.4375
05-18-2020_14-29-34,-7.274180703999999,-2.5842484079999997,-5.443671415,-0.2265625,-0.1328125,0.2734375
05-18-2020_14-29-35,-7.2598237683999995,-2.5842484079999997,-5.460421173199999,0.2421875,-0.0078125,0.2421875
05-18-2020_14-29-35,-7.269395058799999,-2.5674986497999996,-5.426921656799999,0.046875,0.0390625,0.0859375
05-18-2020_14-29-35,-7.276573526599999,-2.5794627627999995,-5.422136011599999,-0.1171875,0.21875,0.671875
05-18-2020_14-29-35,-7.2598237683999995,-2.5866412305999997,-5.4364929472,0.0703125,0.0859375,0.5078125
05-18-2020_14-29-35,-7.274180703999999,-2.5746771176,-5.4149575438,-0.25,-0.21875,0.3203125
05-18-2020_14-29-35,-7.271787881399999,-2.5818555854,-5.431707302,-0.015625,0.1015625,0.2578125
05-18-2020_14-29-35,-7.271787881399999,-2.5890340532000002,-5.422136011599999,-0.0859375,-0.171875,0.125
05-18-2020_14-29-35,-7.255038123199999,-2.5842484079999997,-5.431707302,-0.046875,0.171875,0.2109375
05-18-2020_14-29-36,-7.276573526599999,-2.5698914724,-5.446064237599999,-0.171875,0.3359375,0.5
05-18-2020_14-29-36,-7.276573526599999,-2.5770699402,-5.412564721199999,0.109375,0.2890625,0.296875
05-18-2020_14-29-36,-7.2646094136,-2.5722842949999998,-5.4364929472,-0.109375,0.2109375,0.4765625
05-18-2020_14-29-36,-7.2646094136,-2.5842484079999997,-5.419743189,-0.3046875,-0.2734375,0.1015625
05-18-2020_14-29-36,-7.271787881399999,-2.5866412305999997,-5.4293144793999994,0.1328125,0.1875,0.4921875
05-18-2020_14-29-36,-7.276573526599999,-2.5698914724,-5.407779076,-0.046875,-0.0859375,0.3984375
05-18-2020_14-29-36,-7.269395058799999,-2.5722842949999998,-5.4341001246,0.0546875,-0.2890625,0.390625
05-18-2020_14-29-36,-7.276573526599999,-2.5890340532000002,-5.407779076,-0.3125,0.015625,0.1953125
05-18-2020_14-29-36,-7.269395058799999,-2.5890340532000002,-5.4149575438,-0.2734375,-0.1796875,0.3046875
05-18-2020_14-29-37,-7.276573526599999,-2.5746771176,-5.4388857698,0.1015625,-0.0390625,0.2734375
05-18-2020_14-29-37,-7.2646094136,-2.5722842949999998,-5.448457060199999,-0.2265625,-0.21875,0.59375
05-18-2020_14-29-37,-7.271787881399999,-2.5722842949999998,-5.4508498828,-0.328125,-0.484375,0.2265625
05-18-2020_14-29-37,-7.2670022362,-2.5914268758,-5.4173503664,0.453125,-0.0859375,0.1171875
05-18-2020_14-29-37,-7.269395058799999,-2.5722842949999998,-5.424528834199999,-0.0859375,-0.046875,0.4140625
05-18-2020_14-29-37,-7.274180703999999,-2.6009981662,-5.443671415,0.1796875,-0.1015625,0.59375
05-18-2020_14-29-37,-7.271787881399999,-2.5818555854,-5.455635528,-0.5546875,-0.03125,0.2265625
05-18-2020_14-29-37,-7.271787881399999,-2.5938196984,-5.4341001246,-0.3828125,0.046875,0.3046875
05-18-2020_14-29-37,-7.2670022362,-2.5722842949999998,-5.446064237599999,0.2734375,0.578125,0.390625
05-18-2020_14-29-38,-7.271787881399999,-2.5794627627999995,-5.410171898599999,-0.4453125,0.1953125,0.2109375
05-18-2020_14-29-38,-7.283751994399999,-2.5866412305999997,-5.458028350599999,-0.2421875,0.0546875,0.375
05-18-2020_14-29-38,-7.276573526599999,-2.5842484079999997,-5.412564721199999,-0.2265625,-0.1484375,0.515625
05-18-2020_14-29-38,-7.2885376395999995,-2.6009981662,-5.4388857698,0.0234375,-0.0234375,0.1328125
05-18-2020_14-29-38,-7.283751994399999,-2.5651058271999996,-5.446064237599999,0.203125,0.0390625,0.3515625
05-18-2020_14-29-38,-7.2670022362,-2.5938196984,-5.4364929472,-0.203125,-0.15625,0.1640625
05-18-2020_14-29-38,-7.2670022362,-2.5938196984,-5.4388857698,0.1796875,0.1171875,0.4921875
05-18-2020_14-29-38,-7.274180703999999,-2.5794627627999995,-5.4149575438,-0.078125,-0.046875,0.7421875
05-18-2020_14-29-39,-7.269395058799999,-2.5770699402,-5.424528834199999,-0.4140625,-0.0546875,0.3359375
05-18-2020_14-29-39,-7.2670022362,-2.5818555854,-5.424528834199999,-0.546875,0.140625,0.265625
05-18-2020_14-29-39,-7.276573526599999,-2.5579273594,-5.4006006081999995,-0.21875,0.046875,0.3515625
05-18-2020_14-29-39,-7.281359171799999,-2.5890340532000002,-5.4341001246,-0.1953125,0.109375,0.4296875
05-18-2020_14-29-39,-7.283751994399999,-2.5866412305999997,-5.4532427054,0.0546875,-0.1015625,0.2109375
05-18-2020_14-29-39,-7.2670022362,-2.5938196984,-5.455635528,-0.3671875,-0.109375,0.140625
05-18-2020_14-29-39,-7.271787881399999,-2.5770699402,-5.4364929472,0.1171875,-0.0625,0.4296875
05-18-2020_14-29-39,-7.276573526599999,-2.5746771176,-5.4006006081999995,-0.046875,-0.1484375,0.6953125
05-18-2020_14-29-39,-7.286144816999999,-2.5938196984,-5.4508498828,-0.2265625,-0.1953125,0.140625
05-18-2020_14-29-40,-7.2670022362,-2.5770699402,-5.419743189,0.1171875,-0.0625,0.5390625
