time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_15-21-31,-7.345965381999999,-2.4526431649999996,-5.3766723822,-0.3671875,-0.21875,0.6484375
05-18-2020_15-21-31,-7.3651079628,-2.4670001006,-5.3551369788,-0.0859375,-0.21875,0.375
05-18-2020_15-21-31,-7.350751027199999,-2.4311077616,-5.350351333599999,-0.1640625,-0.28125,0.2578125
05-18-2020_15-21-32,-7.391429011399999,-2.4789642136,-5.3790652048,0.0234375,-0.1484375,0.1328125
05-18-2020_15-21-32,-7.3651079628,-2.4263221163999997,-5.3407800432,-0.171875,0.2578125,0.0
05-18-2020_15-21-32,-7.314858688199999,-2.4454646972,-5.3072805268,-0.140625,-0.1171875,0.421875
05-18-2020_15-21-32,-7.334001268999999,-2.4119651807999998,-5.326423107599999,0.21875,0.078125,0.28125
05-18-2020_15-21-32,-7.3866433661999995,-2.4454646972,-5.347958510999999,-0.328125,-0.359375,0.75
05-18-2020_15-21-32,-7.3363940916,-2.4598216327999998,-5.371886736999999,0.1953125,0.578125,0.4375
05-18-2020_15-21-32,-7.3603223176,-2.4335005842,-5.3575298014,-0.15625,0.0703125,0.65625
05-18-2020_15-21-32,-7.209574493799999,-2.4478575198,-5.328815930199999,0.3046875,0.578125,0.125
05-18-2020_15-21-33,-7.3363940916,-2.4382862293999996,-5.362315446599999,-0.0234375,-0.5703125,0.7890625
05-18-2020_15-21-33,-7.331608446399999,-2.5387847785999997,-5.3934221404,-0.375,-0.0390625,0.5546875
05-18-2020_15-21-33,-7.3962146566,-2.51246373,-5.3934221404,0.0546875,0.1796875,0.0390625
05-18-2020_15-21-33,-7.350751027199999,-2.4813570361999995,-5.395814963,-0.2421875,0.5234375,0.0
05-18-2020_15-21-33,-7.283751994399999,-2.4239292938,-5.314458994599999,-0.0859375,0.140625,0.3125
05-18-2020_15-21-33,-7.314858688199999,-2.524427843,-5.312066171999999,-0.34375,0.15625,0.25
05-18-2020_15-21-33,-7.3962146566,-2.416750826,-5.2713881877999995,-0.3125,-0.25,1.171875
05-18-2020_15-21-33,-7.4608208668,-2.6225335696,-5.4747781088,0.1171875,-0.2421875,0.03125
05-18-2020_15-21-33,-7.3986074792,-2.5100709074,-5.4006006081999995,-0.3359375,-0.09375,0.3046875
05-18-2020_15-21-34,-7.3651079628,-2.4478575198,-5.3048877041999996,-0.140625,-0.1484375,0.4375
05-18-2020_15-21-34,-7.3411797368,-2.3904297774,-5.359922623999999,0.109375,0.40625,0.3515625
05-18-2020_15-21-34,-7.295716107399999,-2.5531417141999997,-5.407779076,-0.1796875,0.875,0.234375
05-18-2020_15-21-34,-7.2933232848,-2.6177479243999997,-5.3048877041999996,0.1640625,0.2265625,-0.0703125
05-18-2020_15-21-34,-7.372286430599999,-2.3641087288,-5.3072805268,-0.265625,-0.625,0.9765625
05-18-2020_15-21-34,-7.4010003018,-2.3928225999999997,-5.2833523008,0.0546875,0.8125,-0.25
05-18-2020_15-21-34,-7.269395058799999,-2.4263221163999997,-5.3982077855999995,-0.3515625,0.8671875,-0.4140625
05-18-2020_15-21-34,-7.2263242519999995,-2.416750826,-5.335994397999999,-0.1875,-0.09375,0.3203125
05-18-2020_15-21-34,-7.307680220399999,-2.4909283265999997,-5.3790652048,-0.140625,-0.1953125,0.34375
05-18-2020_15-21-35,-7.355536672399999,-2.4263221163999997,-5.347958510999999,0.1015625,-0.71875,0.5625
05-18-2020_15-21-35,-7.331608446399999,-2.51246373,-5.412564721199999,0.109375,0.78125,0.203125
05-18-2020_15-21-35,-7.3172515108,-2.3832513096,-5.364708269199999,-0.2109375,-0.1484375,0.3046875
05-18-2020_15-21-35,-7.29810893,-2.5339991334,-5.352744156199999,-0.375,0.1328125,0.5234375
05-18-2020_15-21-35,-7.391429011399999,-2.5459632464,-5.3383872206,-0.546875,-1.265625,1.0625
05-18-2020_15-21-35,-7.3770720758,-2.4741785684,-5.2402814939999995,-0.203125,-0.4140625,0.8984375
05-18-2020_15-21-35,-7.3028945752,-2.5076780847999998,-5.326423107599999,-0.1640625,0.796875,-0.4296875
05-18-2020_15-21-35,-7.3005017526,-2.4095723581999997,-5.371886736999999,0.1875,-0.1015625,0.34375
05-18-2020_15-21-36,-7.3268228012,-2.51246373,-5.352744156199999,-0.296875,0.3359375,0.0703125
05-18-2020_15-21-36,-7.4249285278,-2.6440689729999995,-5.364708269199999,-0.171875,-0.734375,0.8828125
05-18-2020_15-21-36,-7.393821833999999,-2.4813570361999995,-5.290530768599999,-0.5234375,0.015625,0.4921875
05-18-2020_15-21-36,-7.367500785399999,-2.4957139718,-5.3072805268,0.109375,0.3125,0.0859375
05-18-2020_15-21-36,-7.3387869142,-2.4000010678,-5.300102058999999,0.109375,0.453125,0.1796875
05-18-2020_15-21-36,-7.310073042999999,-2.5052852621999997,-5.395814963,0.2734375,0.4765625,0.1171875
05-18-2020_15-21-36,-7.3603223176,-2.4430718745999997,-5.3407800432,-0.6015625,-0.546875,0.859375
05-18-2020_15-21-36,-7.4177500599999995,-2.464607278,-5.371886736999999,-0.234375,-0.5,0.6484375
05-18-2020_15-21-36,-7.3770720758,-2.4119651807999998,-5.352744156199999,-0.25,-0.4140625,0.59375
05-18-2020_15-21-37,-7.357929495,-2.4191436485999995,-5.3551369788,0.203125,0.0,0.28125
05-18-2020_15-21-37,-7.357929495,-2.464607278,-5.374279559599999,0.1953125,0.0390625,0.2890625
05-18-2020_15-21-37,-7.331608446399999,-2.4550359876,-5.371886736999999,-0.203125,-0.0703125,0.1875
05-18-2020_15-21-37,-7.357929495,-2.4430718745999997,-5.350351333599999,-0.3125,-0.1796875,0.265625
05-18-2020_15-21-37,-7.350751027199999,-2.4526431649999996,-5.359922623999999,-0.0625,-0.03125,0.5703125
05-18-2020_15-21-37,-7.343572559399999,-2.5100709074,-5.4652068183999996,0.0703125,0.5703125,0.1640625
05-18-2020_15-21-37,-7.331608446399999,-2.2827527603999997,-5.228317380999999,-0.5234375,-0.546875,0.828125
05-18-2020_15-21-37,-7.3244299786,-2.321037922,-5.3024948815999995,0.140625,-0.6015625,0.421875
05-18-2020_15-21-37,-7.391429011399999,-2.4263221163999997,-5.2689953651999994,0.1015625,0.515625,-0.2109375
05-18-2020_15-21-38,-7.3651079628,-2.4741785684,-5.4341001246,-0.65625,-0.2109375,0.515625
05-18-2020_15-21-38,-7.405785946999999,-2.4717857457999997,-5.3216374624,-0.3984375,-0.0078125,0.2734375
05-18-2020_15-21-38,-7.379464898399999,-2.4143580034,-5.2737810104,0.3046875,-0.0859375,0.4296875
05-18-2020_15-21-38,-7.357929495,-2.4215364712,-5.300102058999999,0.2421875,0.0,0.1953125
05-18-2020_15-21-38,-7.331608446399999,-2.5028924396,-5.3982077855999995,0.078125,0.453125,-0.3046875
05-18-2020_15-21-38,-7.312465865599999,-2.4789642136,-5.3766723822,0.234375,0.203125,0.6640625
05-18-2020_15-21-38,-7.3387869142,-2.464607278,-5.3790652048,-0.65625,-0.171875,0.4375
05-18-2020_15-21-38,-7.4177500599999995,-2.6584259086,-5.412564721199999,-0.1796875,0.078125,0.4765625
05-18-2020_15-21-39,-7.2789663492,-2.4670001006,-5.371886736999999,0.4140625,0.484375,-0.03125
05-18-2020_15-21-39,-7.3268228012,-2.5459632464,-5.3072805268,0.0546875,0.9921875,-0.1875
05-18-2020_15-21-39,-7.2909304621999995,-2.5076780847999998,-5.254638429599999,0.1171875,-0.5546875,0.5
05-18-2020_15-21-39,-7.429714172999999,-2.5220350204,-5.4388857698,-0.046875,-0.15625,0.1875
05-18-2020_15-21-39,-7.3531438497999995,-2.3282163897999997,-5.2785666556,-0.4921875,-0.1796875,0.6328125
05-18-2020_15-21-39,-7.367500785399999,-2.4023938904,-5.3551369788,-0.1953125,0.140625,0.421875
05-18-2020_15-21-39,-7.3746792532,-2.4430718745999997,-5.4029934308,-0.1328125,0.40625,0.171875
05-18-2020_15-21-39,-7.3244299786,-2.4263221163999997,-5.3766723822,-0.59375,-0.234375,0.3046875
05-18-2020_15-21-39,-7.369893607999999,-2.4717857457999997,-5.3431728658,-0.140625,-0.21875,0.3046875
