time,g_x,g_y,g_z,a_x,a_y,a_z
08-09-2020_13-56-19,-0.5766702466,0.2656033086,10.0905329042,0.828125,0.734375,0.03125
08-09-2020_13-56-19,-0.5790630692,0.2703889538,10.073783145999998,0.25,0.640625,0.1484375
08-09-2020_13-56-19,-0.5814558917999999,0.27517459899999996,10.078568791199999,0.0703125,0.5390625,0.25
08-09-2020_13-56-19,-0.5742774239999999,0.26321048599999997,10.073783145999998,0.328125,0.4765625,0.2109375
08-09-2020_13-56-19,-0.5647061335999999,0.23449661479999998,10.083354436399999,0.59375,0.5390625,0.171875
08-09-2020_13-56-19,-0.5670989562,0.25124637299999997,10.0546405652,0.2734375,0.6171875,0.0703125
08-09-2020_13-56-19,-0.5718846014,0.25124637299999997,10.0713903234,0.5078125,0.40625,-0.0234375
08-09-2020_13-56-19,-0.5814558917999999,0.26321048599999997,10.068997500799998,0.0859375,0.2734375,0.09375
08-09-2020_13-56-20,-0.5599204884,0.26321048599999997,10.078568791199999,0.5703125,0.5390625,0.3046875
08-09-2020_13-56-20,-0.5862415369999999,0.2656033086,10.0666046782,0.4453125,0.3125,0.1328125
08-09-2020_13-56-20,-0.5742774239999999,0.26081766339999995,10.073783145999998,0.46875,0.7109375,0.25
08-09-2020_13-56-20,-0.5694917787999999,0.25124637299999997,10.0666046782,0.671875,0.5390625,0.1484375
08-09-2020_13-56-20,-0.5790630692,0.26081766339999995,10.0761759686,0.3671875,0.5546875,0.375
08-09-2020_13-56-20,-0.5670989562,0.27517459899999996,10.080961613799998,-0.109375,0.46875,0.078125
08-09-2020_13-56-20,-0.5742774239999999,0.2727817764,10.083354436399999,0.4453125,0.5,0.2109375
08-09-2020_13-56-20,-0.5718846014,0.2440679052,10.0713903234,0.0,0.75,0.2734375
08-09-2020_13-56-20,-0.5814558917999999,0.2584248408,10.0522477426,-0.015625,0.40625,0.1171875
08-09-2020_13-56-21,-0.5647061335999999,0.2560320182,10.057033387799999,0.2265625,0.8515625,0.0703125
08-09-2020_13-56-21,-0.5670989562,0.2560320182,10.0761759686,0.609375,0.6328125,0.171875
08-09-2020_13-56-21,-0.5718846014,0.2679961312,10.078568791199999,0.4765625,0.4296875,-0.0234375
08-09-2020_13-56-21,-0.5694917787999999,0.2727817764,10.080961613799998,0.671875,0.5703125,0.03125
08-09-2020_13-56-21,-0.562313311,0.26321048599999997,10.0642118556,0.4453125,0.6796875,0.1484375
08-09-2020_13-56-21,-0.5718846014,0.2584248408,10.0522477426,0.609375,0.4375,0.1484375
08-09-2020_13-56-21,-0.5575276658,0.26321048599999997,10.073783145999998,0.515625,0.5390625,0.2421875
08-09-2020_13-56-21,-0.5814558917999999,0.23688943739999999,10.0666046782,0.3125,0.734375,0.0703125
08-09-2020_13-56-21,-0.5742774239999999,0.2584248408,10.0594262104,0.203125,0.5546875,0.1484375
08-09-2020_13-56-22,-0.5862415369999999,0.2584248408,10.042676452199998,0.3515625,0.4765625,0.25
08-09-2020_13-56-22,-0.5599204884,0.28235306679999994,10.078568791199999,0.171875,0.5703125,0.421875
08-09-2020_13-56-22,-0.5742774239999999,0.2584248408,10.073783145999998,0.2265625,0.203125,0.1171875
08-09-2020_13-56-22,-0.5694917787999999,0.24885355039999998,10.1024970172,0.609375,0.75,0.2265625
08-09-2020_13-56-22,-0.5766702466,0.2703889538,10.085747258999998,0.34375,0.4375,0.3046875
08-09-2020_13-56-22,-0.5718846014,0.26081766339999995,10.068997500799998,0.484375,0.3515625,0.1171875
08-09-2020_13-56-22,-0.562313311,0.26081766339999995,10.061819032999999,0.3671875,0.296875,0.1484375
08-09-2020_13-56-22,-0.5886343596,0.2560320182,10.0713903234,0.3671875,0.4609375,-0.09375
08-09-2020_13-56-22,-0.5694917787999999,0.24885355039999998,10.0713903234,0.2421875,0.515625,0.109375
08-09-2020_13-56-23,-0.5694917787999999,0.26321048599999997,10.085747258999998,0.546875,0.65625,0.1328125
08-09-2020_13-56-23,-0.5647061335999999,0.26081766339999995,10.057033387799999,0.4375,0.5859375,-0.15625
08-09-2020_13-56-23,-0.5694917787999999,0.2440679052,10.057033387799999,0.0078125,0.296875,0.2265625
08-09-2020_13-56-23,-0.5766702466,0.23688943739999999,10.085747258999998,0.53125,0.4375,0.1875
08-09-2020_13-56-23,-0.5838487144,0.2775674216,10.045069274799998,0.2265625,0.3984375,0.1640625
08-09-2020_13-56-23,-0.5838487144,0.25124637299999997,10.073783145999998,0.0703125,0.6015625,0.3203125
