time,g_x,g_y,g_z,a_x,a_y,a_z
10-22-2020_08-47-47,10.382457261399999,-16.6396883604,18.262022083199998,-0.1640625,0.5078125,0.3515625
10-22-2020_08-47-47,-1.1389835575999998,-8.8965144268,3.9912280967999996,0.2890625,0.0859375,0.015625
10-22-2020_08-47-47,-1.1509476706,-8.9539421692,3.9314075317999997,-0.0703125,-0.15625,0.28125
10-22-2020_08-47-47,-1.1413763801999999,-8.939585233599999,3.972085516,0.8984375,0.875,0.2578125
10-22-2020_08-47-48,-1.1270194446,-8.915657007599998,3.9792639837999992,0.421875,-0.2578125,0.578125
10-22-2020_08-47-48,-1.1341979124,-8.956334991799999,3.9888352742,0.5078125,-0.2109375,0.6953125
10-22-2020_08-47-48,-1.1748758966,-8.8630149104,3.9146577735999997,-0.1640625,0.140625,0.46875
10-22-2020_08-47-48,-1.1389835575999998,-8.9228354754,4.0055850324,0.5546875,0.5546875,0.4453125
10-22-2020_08-47-48,-1.1629117835999998,-8.985048863,3.9768711611999996,0.546875,-0.2109375,0.3203125
10-22-2020_08-47-48,-1.1461620253999998,-8.956334991799999,3.936193177,0.8984375,-0.046875,0.5
10-22-2020_08-47-48,-1.1629117835999998,-8.9276211206,3.888336725,0.921875,0.7578125,0.2265625
10-22-2020_08-47-48,-1.1150553316,-8.9635134596,3.9577285803999995,0.53125,0.4296875,0.125
10-22-2020_08-47-48,-1.0911271056,-8.934799588399999,3.9672998707999994,0.328125,-0.8125,0.5546875
10-22-2020_08-47-49,-1.1892328321999999,-8.925228297999999,3.960121403,-0.25,0.0625,0.4765625
10-22-2020_08-47-49,-1.1509476706,-8.934799588399999,3.9170505961999997,0.234375,-0.21875,0.6015625
10-22-2020_08-47-49,-1.1198409768,-8.9946201534,3.9864424515999994,-0.1953125,-1.9453125,1.0859375
10-22-2020_08-47-49,-1.1174481541999999,-9.0041914438,3.8309089825999996,1.875,-0.359375,-0.109375
10-22-2020_08-47-49,-1.1198409768,-8.9802632178,3.9744783385999995,0.7265625,-0.7578125,0.921875
10-22-2020_08-47-49,-1.1485548479999999,-8.925228297999999,3.9194434187999994,1.484375,-0.8671875,0.2578125
10-22-2020_08-47-49,-1.1437692028,-8.951549346599998,3.9529429352,1.1171875,-0.2890625,0.0703125
10-22-2020_08-47-49,-1.1748758966,-8.937192410999998,3.9505501125999998,0.75,-0.59375,0.109375
10-22-2020_08-47-49,-1.1461620253999998,-8.939585233599999,3.8524443859999993,0.0390625,-0.546875,0.3203125
10-22-2020_08-47-50,-1.1318050897999998,-8.8989072494,3.960121403,0.1171875,0.265625,0.828125
10-22-2020_08-47-50,-1.0911271056,-8.987441685599999,3.9338003543999998,1.0390625,0.375,0.5078125
10-22-2020_08-47-50,-1.0935199281999999,-8.925228297999999,3.9672998707999994,0.859375,0.0390625,0.5390625
10-22-2020_08-47-50,-1.1653046061999999,-8.949156524,3.9649070481999997,1.0078125,0.265625,0.6640625
10-22-2020_08-47-50,-1.1006983959999999,-8.9635134596,3.9649070481999997,0.8125,0.0859375,0.5234375
10-22-2020_08-47-50,-1.1102696864,-8.951549346599998,3.9529429352,0.8984375,0.4609375,0.953125
10-22-2020_08-47-50,-1.1318050897999998,-8.915657007599998,3.972085516,0.8359375,0.03125,0.9140625
10-22-2020_08-47-50,-1.1222337993999998,-8.956334991799999,3.9816568063999997,0.6484375,0.78125,0.3203125
10-22-2020_08-47-50,-1.1341979124,-8.930013943199999,3.9936209193999996,0.984375,-0.0703125,0.59375
10-22-2020_08-47-51,-1.1102696864,-8.925228297999999,4.0055850324,0.8046875,-0.265625,0.984375
10-22-2020_08-47-51,-1.0815558152,-8.901300071999998,3.9960137419999997,0.5546875,0.171875,0.2578125
10-22-2020_08-47-51,-1.2155538808,-8.937192410999998,4.010370677599999,0.3359375,0.1796875,0.671875
10-22-2020_08-47-51,-1.1006983959999999,-8.9802632178,3.9625142255999997,0.3203125,0.4296875,0.328125
10-22-2020_08-47-51,-1.2035897677999998,-8.9180498302,3.9672998707999994,-0.140625,0.09375,0.5078125
10-22-2020_08-47-51,-1.1294122671999998,-8.939585233599999,3.9672998707999994,0.328125,-0.0546875,0.4921875
10-22-2020_08-47-51,-1.0600204117999998,-8.9802632178,3.9696926934,1.1875,0.265625,0.84375
10-22-2020_08-47-51,-1.1581261384,-8.9180498302,3.9290147091999996,0.375,-0.171875,0.6171875
10-22-2020_08-47-51,-1.1676974288,-8.9228354754,3.9170505961999997,0.828125,-0.03125,0.8046875
10-22-2020_08-47-52,-1.1557333157999998,-8.970691927399999,3.9314075317999997,0.84375,0.1953125,0.5
10-22-2020_08-47-52,-1.184447187,-8.9276211206,3.9625142255999997,1.3671875,0.3828125,0.5234375
10-22-2020_08-47-52,-1.1509476706,-8.805587167999999,3.9146577735999997,0.4765625,-0.078125,0.1953125
10-22-2020_08-47-52,-1.1270194446,-8.925228297999999,3.9266218865999996,0.625,0.0078125,0.4609375
10-22-2020_08-47-52,-1.2035897677999998,-8.9419780562,3.9529429352,0.3359375,0.015625,0.546875
10-22-2020_08-47-52,-1.1437692028,-8.9276211206,3.9505501125999998,0.703125,-0.09375,0.4765625
10-22-2020_08-47-52,-1.1341979124,-8.934799588399999,3.9098721283999995,0.03125,0.1953125,0.40625
10-22-2020_08-47-52,-1.1030912186,-8.965906282199999,3.9960137419999997,0.6875,0.21875,0.9296875
10-22-2020_08-47-52,-1.1509476706,-8.9204426528,3.972085516,0.9765625,0.03125,0.3671875
10-22-2020_08-47-53,-1.1940184774,-8.951549346599998,4.0199419679999995,0.3046875,-0.0546875,0.6796875
10-22-2020_08-47-53,-1.1126625089999997,-8.930013943199999,3.9577285803999995,0.6484375,0.6953125,0.125
10-22-2020_08-47-53,-1.1270194446,-8.9682991048,3.9936209193999996,0.9921875,-0.0078125,1.015625
10-22-2020_08-47-53,-1.1437692028,-8.8845503138,3.9696926934,0.8203125,0.453125,0.21875
10-22-2020_08-47-53,-1.1724830739999998,-8.934799588399999,3.9457644673999996,0.875,-0.4921875,0.765625
10-22-2020_08-47-53,-1.1341979124,-8.8869431364,3.9433716447999996,1.3515625,-0.390625,0.6015625
10-22-2020_08-47-53,-1.1078768638,-8.908478539799999,3.9936209193999996,0.390625,-1.046875,0.4375
10-22-2020_08-47-53,-1.1006983959999999,-8.925228297999999,4.0007993872,0.4609375,-0.6640625,0.4609375
