time,g_x,g_y,g_z,a_x,a_y,a_z
11-01-2020_12-28-59,10.382457261399999,-16.6396883604,18.262022083199998,0.359375,0.078125,0.1015625
11-01-2020_12-28-59,-2.5411776011999994,-5.412564721199999,8.003991596999999,0.75,0.4609375,0.5078125
11-01-2020_12-28-59,-2.5363919559999997,-5.4364929472,7.982456193599999,0.3515625,0.0546875,0.5234375
11-01-2020_12-28-59,-2.5483560689999996,-5.426921656799999,8.0183485326,0.734375,-0.0078125,0.5625
11-01-2020_12-28-59,-2.524427843,-5.364708269199999,8.087740388,0.0,0.0,0.6953125
11-01-2020_12-29-00,-2.524427843,-5.3982077855999995,7.987241838799999,1.2890625,-0.171875,0.65625
11-01-2020_12-29-00,-2.5316063108,-5.407779076,7.984849016199999,0.46875,0.1796875,0.546875
11-01-2020_12-29-00,-2.5483560689999996,-5.4053862534,7.982456193599999,0.8828125,0.078125,0.671875
11-01-2020_12-29-00,-2.5459632464,-5.4006006081999995,8.0183485326,0.8515625,-0.21875,0.296875
11-01-2020_12-29-00,-2.5316063108,-5.4173503664,7.9992059518,0.328125,0.265625,0.5234375
11-01-2020_12-29-00,-2.4478575198,-5.486742221799999,7.908278693,0.3359375,0.265625,0.3203125
11-01-2020_12-29-00,-2.4741785684,-7.255038123199999,5.819344563199999,-0.8515625,2.25,2.125
11-01-2020_12-29-00,-2.6081766339999994,-5.4628139957999995,8.1164542592,-0.078125,0.1875,0.5078125
11-01-2020_12-29-00,-2.2133609049999996,-6.051448355399999,7.453642399,7.2578125,9.1171875,-7.8046875
11-01-2020_12-29-01,-2.6775684894,-5.74277424,7.7120672398,5.046875,2.0859375,-0.078125
11-01-2020_12-29-01,-2.7804598611999998,-5.565705367599999,7.8341011923999995,10.09375,0.5078125,3.4765625
11-01-2020_12-29-01,-3.2350961552,-5.443671415,7.657032319999999,-6.5859375,0.078125,-2.3984375
11-01-2020_12-29-01,-4.1012979364,-5.022534637399999,7.523034254399999,5.140625,-7.4765625,-0.1640625
11-01-2020_12-29-01,-3.1178478478,-4.6755753604,8.5088771656,24.515625,-16.4765625,25.171875
11-01-2020_12-29-01,-2.3018953412,-5.0799623797999995,8.3054872446,17.7578125,-3.5078125,9.875
11-01-2020_12-29-01,-2.4478575198,-5.292923591199999,8.092526033199999,2.078125,-0.390625,1.109375
11-01-2020_12-29-01,-2.4574288101999997,-5.2618168974,8.128418372199999,0.515625,0.0625,0.703125
11-01-2020_12-29-01,-2.4454646972,-5.2211389132,8.13559684,1.046875,-0.265625,0.4921875
11-01-2020_12-29-02,-2.4813570361999995,-5.233103026199999,8.159525065999999,1.40625,-0.125,0.7578125
11-01-2020_12-29-02,-2.4502503424,-5.2498527844,8.133204017399999,0.5,-0.03125,0.5390625
11-01-2020_12-29-02,-2.4382862293999996,-5.254638429599999,8.1619178886,1.3515625,-0.3203125,0.578125
11-01-2020_12-29-02,-2.4526431649999996,-5.2402814939999995,8.147560953,0.546875,-0.40625,0.6953125
11-01-2020_12-29-02,-2.4406790519999997,-5.9485569836,7.640282561799999,-6.40625,-1.78125,3.4921875
11-01-2020_12-29-02,-2.4502503424,-4.9555356046,8.329415470599999,2.421875,-1.1328125,4.359375
11-01-2020_12-29-02,-1.2586246875999998,-19.3866487052,0.3445664544,-256.0,255.9921875,-256.0
11-01-2020_12-29-02,4.3453658416,-1.1078768638,-14.041083016799998,-256.0,255.9921875,-52.359375
11-01-2020_12-29-02,7.5206414318,-5.819344563199999,-10.705488312399998,-145.3046875,255.9921875,-44.7109375
11-01-2020_12-29-03,5.9198431124,-1.4548361407999997,-9.2315095908,187.953125,106.4609375,-118.7734375
11-01-2020_12-29-03,0.7992027483999999,0.6005984726,-0.4163511324,55.1875,94.3828125,-153.3515625
11-01-2020_12-29-03,1.2777672683999999,-1.0863414604,-2.1463618722,217.8359375,-10.921875,-40.203125
11-01-2020_12-29-03,2.5172493751999996,-0.8877371845999998,-4.0366917262,-53.5546875,13.03125,-139.875
11-01-2020_12-29-03,10.205388389,0.7393821834,-13.347164462799999,255.9921875,-61.1171875,94.6953125
11-01-2020_12-29-03,5.197210687199999,2.7924239741999997,-5.580062303199999,119.9609375,-88.7421875,255.9921875
11-01-2020_12-29-03,5.5489556094,-0.3182454058,-11.8420790474,-252.765625,-111.28125,255.9921875
11-01-2020_12-29-03,4.9579284272,-2.3952154225999998,-6.544369810999999,-115.9609375,71.953125,75.8984375
11-01-2020_12-29-03,3.6873396266,-2.2061824372,-5.094319315399999,93.953125,60.984375,-126.4921875
11-01-2020_12-29-04,3.9936209193999996,-0.17467604979999998,-7.487141915399999,174.625,72.5859375,-205.015625
11-01-2020_12-29-04,4.582255279,3.3355947043999996,-8.7649091838,-72.1875,4.2421875,-87.9140625
11-01-2020_12-29-04,4.570291166,1.5912270289999997,-12.626924860199999,-140.828125,-4.6171875,62.703125
11-01-2020_12-29-04,3.6658042231999994,-2.2253250179999995,-8.427521197199999,0.9375,74.3359375,-77.203125
11-01-2020_12-29-04,-0.15553346899999998,-0.5335994398,-10.703095489799999,255.9921875,100.921875,-256.0
11-01-2020_12-29-04,-9.3511507208,6.831508523,-11.499905415599999,-256.0,6.453125,109.640625
11-01-2020_12-29-04,5.0057848792,-0.2656033086,-7.7240313528,255.9921875,11.40625,46.59375
11-01-2020_12-29-04,9.7172525786,2.4215364712,-9.348757898199999,220.9375,100.8515625,110.90625
11-01-2020_12-29-04,6.381657874199999,-4.0965122912,-6.5300128754,-41.2109375,18.71875,-69.25
11-01-2020_12-29-05,6.891329088,-2.5387847785999997,-7.3651079628,103.890625,8.0859375,-130.1953125
11-01-2020_12-29-05,10.468598874999998,0.4881358104,-8.0901332106,67.6015625,147.21875,-84.453125
11-01-2020_12-29-05,7.4584280442,2.7828526837999994,-7.7072815945999995,-34.609375,-110.5390625,-40.5625
11-01-2020_12-29-05,-1.7300107397999998,2.6847469572,-13.746765837,-197.5078125,-98.984375,44.75
11-01-2020_12-29-05,3.9409788222,0.4761716974,-7.470392157199999,247.3984375,173.15625,196.7578125
11-01-2020_12-29-05,5.335994397999999,-8.5112699882,-9.229116768199999,130.1953125,-256.0,144.71875
11-01-2020_12-29-05,6.611368843799999,-4.3501514868,0.09092725879999998,255.9921875,32.859375,164.671875
11-01-2020_12-29-05,-5.587240771,-1.6127624323999998,-9.1716890258,-90.5859375,-29.828125,-88.765625
11-01-2020_12-29-05,-0.8805587167999999,1.232303639,-3.6610185779999997,-127.9609375,76.7890625,-11.1953125
11-01-2020_12-29-06,0.6915257314,-9.7340023368,-8.9587278144,-256.0,23.3515625,42.6171875
11-01-2020_12-29-06,-0.9188438783999999,-3.8715869667999994,-15.4480627056,-256.0,-3.59375,-46.0390625
11-01-2020_12-29-06,0.6675975054,2.7780670385999997,-11.9258278384,3.359375,-28.71875,4.796875
11-01-2020_12-29-06,6.2955162605999995,1.5768700934,-6.809973119599999,22.0703125,-58.765625,-18.171875
11-01-2020_12-29-06,1.1126625089999997,0.873380249,-8.1858461146,155.59375,49.5,22.25
11-01-2020_12-29-06,-0.3613162126,0.8997012975999998,-6.752545377199999,255.9921875,-154.2265625,63.7578125
11-01-2020_12-29-06,-5.606383351799999,-12.2249306634,14.091332291399997,255.9921875,-256.0,255.9921875
11-01-2020_12-29-06,0.5862415369999999,-8.2480595022,12.5479617144,255.9921875,255.9921875,175.9453125
11-01-2020_12-29-06,-9.415756930999999,3.4648071248,5.694917788,174.3515625,77.4375,-21.703125
11-01-2020_12-29-07,-3.337987527,-5.508277625199999,3.5389846253999995,82.9140625,153.859375,-24.2890625
11-01-2020_12-29-07,-10.9136638786,2.2085752598,1.3926227532,25.4375,126.3828125,-64.296875
11-01-2020_12-29-07,-14.091332291399997,1.256231865,1.3543375916,-39.015625,101.9375,-32.21875
11-01-2020_12-29-07,-12.562318649999998,3.2997023654,-1.0241280728,0.1875,242.2421875,63.34375
11-01-2020_12-29-07,-8.6117685374,0.7250252477999999,-3.3762726885999994,-22.109375,-11.5234375,24.4375
11-01-2020_12-29-07,-10.8825571848,1.9477575963999998,-2.8426732488,-18.2578125,-116.96875,-15.3046875
11-01-2020_12-29-07,-7.140182638399999,1.8831513862,0.1363908882,-19.3515625,-64.9140625,-8.1796875
11-01-2020_12-29-07,-10.796415571199999,1.5122638831999997,0.46899322959999995,-7.3046875,48.4453125,63.8984375
11-01-2020_12-29-07,-9.001798621199999,2.2013967919999997,-0.2440679052,13.7109375,18.953125,11.234375
11-01-2020_12-29-08,-8.8749790234,2.8857440555999996,-2.5651058271999996,-0.6171875,-14.0078125,-34.25
11-01-2020_12-29-08,-8.195417404999999,3.0556344601999994,-0.7393821834,0.7734375,-16.671875,-5.328125
11-01-2020_12-29-08,-8.164310711199999,1.6941184007999999,-1.1102696864,-3.6328125,-32.15625,-16.9609375
