time,g_x,g_y,g_z,a_x,a_y,a_z
11-20-2020_13-17-35,15.002997701999998,3.9026936606,-8.257630792599999,1.0078125,0.3203125,0.3671875
11-20-2020_13-17-36,0.1268195978,0.3421736318,10.045069274799998,1.328125,0.1484375,0.109375
11-20-2020_13-17-36,0.12442677519999999,0.3278166962,10.0642118556,1.078125,0.1640625,0.3359375
11-20-2020_13-17-36,0.1004985492,0.3158525832,10.0402836296,1.140625,0.2421875,0.3125
11-20-2020_13-17-36,0.1339980656,0.3158525832,10.0546405652,1.1640625,0.046875,0.1875
11-20-2020_13-17-36,0.13160524299999998,0.32303105099999996,10.0522477426,0.6875,0.1953125,0.1015625
11-20-2020_13-17-36,0.11246266219999998,0.3182454058,10.037890806999998,0.8125,0.2578125,0.2421875
11-20-2020_13-17-36,0.1339980656,0.3397808092,10.033105161799998,0.8359375,0.2421875,0.1875
11-20-2020_13-17-36,0.11964112999999998,0.34935209959999997,10.0522477426,0.859375,0.109375,0.3046875
11-20-2020_13-17-36,0.1004985492,0.34935209959999997,10.025926693999999,1.171875,0.3125,0.265625
11-20-2020_13-17-36,0.13160524299999998,0.346959277,10.042676452199998,1.578125,0.3046875,0.390625
11-20-2020_13-17-37,0.1339980656,0.34935209959999997,10.0594262104,1.1640625,0.1796875,0.390625
11-20-2020_13-17-37,0.11964112999999998,0.34935209959999997,10.0594262104,0.859375,0.40625,0.3359375
11-20-2020_13-17-37,0.1339980656,0.3445664544,10.0761759686,0.765625,0.109375,0.046875
11-20-2020_13-17-37,0.15074782379999999,0.32542387359999997,10.057033387799999,1.0703125,0.2265625,-0.109375
11-20-2020_13-17-37,0.12442677519999999,0.3278166962,10.045069274799998,0.3828125,0.1015625,0.203125
11-20-2020_13-17-37,0.107677017,0.3302095188,10.0474620974,1.1171875,0.3203125,0.2109375
11-20-2020_13-17-37,0.13160524299999998,0.33499516399999996,10.0546405652,0.78125,-0.1640625,0.1953125
11-20-2020_13-17-37,0.12442677519999999,0.32063822839999995,10.0546405652,0.8671875,0.1484375,0.234375
11-20-2020_13-17-37,0.11724830739999999,0.3421736318,10.0522477426,1.28125,-0.1484375,0.3359375
11-20-2020_13-17-38,0.1220339526,0.3302095188,10.042676452199998,1.140625,0.4296875,0.078125
11-20-2020_13-17-38,0.1579262916,0.346959277,10.0546405652,1.0625,0.2890625,-0.171875
11-20-2020_13-17-38,0.1459621786,0.3397808092,10.042676452199998,0.46875,-0.0078125,0.3671875
11-20-2020_13-17-38,0.1339980656,0.34935209959999997,10.068997500799998,1.328125,0.203125,0.2265625
11-20-2020_13-17-38,0.11246266219999998,0.3421736318,10.0666046782,1.0078125,0.2578125,0.0234375
11-20-2020_13-17-38,0.10528419439999999,0.3445664544,10.057033387799999,0.8828125,0.2578125,0.0234375
11-20-2020_13-17-38,0.12442677519999999,0.32542387359999997,10.0522477426,0.7890625,0.4140625,0.234375
11-20-2020_13-17-38,0.14356935599999998,0.33499516399999996,10.0546405652,1.0234375,0.5625,0.3359375
11-20-2020_13-17-39,0.16031911419999997,0.3062812928,10.0402836296,0.953125,0.21875,0.0546875
11-20-2020_13-17-39,0.09810572659999998,0.3278166962,10.0235338714,1.046875,0.0703125,0.28125
11-20-2020_13-17-39,0.0693918554,0.3302095188,10.0546405652,0.953125,-0.125,0.09375
11-20-2020_13-17-39,0.1722832272,0.3397808092,10.0594262104,0.6328125,-0.046875,0.09375
11-20-2020_13-17-39,0.1339980656,0.3565305674,10.042676452199998,0.9375,0.296875,0.359375
11-20-2020_13-17-39,0.08135596839999999,0.38285161599999995,10.042676452199998,0.3046875,0.2734375,0.1015625
11-20-2020_13-17-39,0.1220339526,0.39720855159999996,10.057033387799999,1.28125,0.1484375,0.1640625
11-20-2020_13-17-39,0.1651047594,0.33499516399999996,10.0546405652,0.875,-0.1015625,0.3046875
11-20-2020_13-17-39,0.1770688724,0.34935209959999997,10.04985492,1.0234375,0.4296875,0.15625
11-20-2020_13-17-40,0.0765703232,0.37806597079999993,10.0642118556,0.828125,0.4921875,-0.125
11-20-2020_13-17-40,0.11724830739999999,0.33738798659999997,10.057033387799999,0.75,0.3359375,0.1875
11-20-2020_13-17-40,0.13160524299999998,0.3445664544,10.0522477426,1.40625,0.5625,0.1875
11-20-2020_13-17-40,0.1292124204,0.3302095188,10.04985492,0.7890625,0.4453125,0.2109375
11-20-2020_13-17-40,0.107677017,0.36610185779999993,10.0666046782,0.8671875,0.359375,0.265625
11-20-2020_13-17-40,0.14356935599999998,0.32542387359999997,10.033105161799998,1.1171875,0.65625,0.359375
11-20-2020_13-17-40,0.1268195978,0.3158525832,10.0642118556,1.1640625,0.3125,0.0078125
11-20-2020_13-17-40,0.10528419439999999,0.3326023414,10.0522477426,1.0859375,-0.125,0.25
11-20-2020_13-17-40,0.11006983959999998,0.32303105099999996,10.0283195166,0.9296875,0.1015625,0.0234375
11-20-2020_13-17-41,0.1339980656,0.3397808092,10.0642118556,0.84375,0.2421875,0.265625
11-20-2020_13-17-41,0.11724830739999999,0.3565305674,10.068997500799998,0.609375,0.2890625,-0.125
11-20-2020_13-17-41,0.11724830739999999,0.346959277,10.0474620974,1.0,0.5078125,0.265625
11-20-2020_13-17-41,0.1387837108,0.3517449222,10.057033387799999,0.84375,0.28125,0.2109375
11-20-2020_13-17-41,0.11724830739999999,0.3445664544,10.04985492,0.7109375,0.1953125,0.15625
11-20-2020_13-17-41,0.12442677519999999,0.36610185779999993,10.006784113199998,1.3046875,0.3359375,0.15625
11-20-2020_13-17-41,0.11485548479999999,0.32303105099999996,10.0761759686,1.1171875,0.1015625,0.4453125
11-20-2020_13-17-41,0.11246266219999998,0.3397808092,10.04985492,0.640625,0.46875,0.28125
11-20-2020_13-17-41,0.1387837108,0.3326023414,10.0905329042,0.90625,0.28125,0.1875
11-20-2020_13-17-42,0.11724830739999999,0.35892339,10.0546405652,1.1953125,0.375,0.046875
11-20-2020_13-17-42,0.11964112999999998,0.346959277,10.033105161799998,0.90625,0.375,0.3125
