time,g_x,g_y,g_z,a_x,a_y,a_z
03-09-2021_12-44-03,-8.219345631,-4.5726839886,3.0556344601999994,0.421875,-0.46875,1.0078125
03-09-2021_12-44-03,-8.516055633399999,-4.6947179411999995,2.6895326024,-1.328125,1.09375,2.78125
03-09-2021_12-44-03,-7.968099258,-4.6995035864,2.8594230069999997,-0.2265625,2.5703125,-0.171875
03-09-2021_12-44-03,-8.386843212999999,-4.4362931003999995,2.7924239741999997,-0.9609375,0.921875,0.421875
03-09-2021_12-44-04,-8.5447695046,-4.563112698199999,2.7565316352,1.4609375,-1.3828125,0.609375
03-09-2021_12-44-04,-8.3772719226,-4.563112698199999,2.7254249414,-0.4765625,-1.09375,-1.5859375
03-09-2021_12-44-04,-8.3222370028,-4.5320060043999995,2.8594230069999997,0.875,-0.21875,-1.1875
03-09-2021_12-44-04,-8.226524098799999,-4.7330031028,2.8187450228,-0.4375,0.03125,1.4296875
03-09-2021_12-44-04,-8.458627890999999,-4.7449672158,2.8259234905999997,-0.8125,-0.5390625,0.390625
03-09-2021_12-44-04,-8.3677006322,-4.2759739861999995,2.8331019584,0.1875,0.140625,0.8359375
03-09-2021_12-44-04,-8.458627890999999,-4.7593241513999995,2.787638329,-0.8984375,0.4609375,-0.4765625
03-09-2021_12-44-04,-8.446663778,-4.874179636199999,2.739781877,2.0390625,-0.3203125,0.6328125
03-09-2021_12-44-04,-8.099704501,-4.3956151162,2.7900311515999996,-0.328125,1.2421875,1.125
03-09-2021_12-44-04,-8.4993058752,-4.8239303615999996,2.7780670385999997,1.15625,-0.4375,0.71875
03-09-2021_12-44-04,-8.4251283746,-4.7425743932,2.7326034091999998,0.8046875,3.359375,0.140625
03-09-2021_12-44-04,-8.267202082999999,-4.7330031028,2.8809584103999994,-0.8828125,-1.28125,1.71875
03-09-2021_12-44-04,-8.3772719226,-4.5391844722,2.715853651,-1.3515625,0.9296875,1.59375
03-09-2021_12-44-04,-8.204988695399999,-4.747360038399999,2.7014967154,0.6171875,1.359375,-0.09375
03-09-2021_12-44-04,-8.2408810344,-4.838287297199999,2.7014967154,-0.6171875,0.6171875,-0.25
03-09-2021_12-44-04,-8.3700934548,-4.5990050371999995,2.7014967154,-0.953125,-0.2421875,1.421875
03-09-2021_12-44-05,-8.4251283746,-4.644468666599999,2.7373890544,0.84375,0.78125,0.1640625
03-09-2021_12-44-05,-8.3437724062,-4.833501652,2.739781877,-0.6171875,0.953125,1.3515625
03-09-2021_12-44-05,-8.3413795836,-4.5343988269999995,2.6991038927999997,-1.59375,-0.2421875,0.078125
03-09-2021_12-44-05,-8.2767733734,-4.4315074552,2.6751756667999995,-0.59375,2.3515625,0.359375
03-09-2021_12-44-05,-8.137989662599999,-4.7090748768,2.75174599,2.359375,-0.0703125,-0.65625
03-09-2021_12-44-05,-8.2719877282,-4.850251410199999,2.6105694566,0.6171875,6.375,-2.484375
03-09-2021_12-44-05,-8.4418781328,-4.713860522,2.5962125209999996,2.078125,0.765625,0.1171875
03-09-2021_12-44-05,-8.4514494232,-4.7665026192,2.6679971989999993,2.9453125,1.2578125,0.2734375
03-09-2021_12-44-05,-8.243273857,-4.4530428586,2.715853651,2.1015625,1.28125,-1.546875
03-09-2021_12-44-05,-8.2648092604,-4.8000021356,2.6464617955999996,3.8984375,0.4921875,0.75
03-09-2021_12-44-05,-8.480163294399999,-4.814359071199999,2.6608187312,3.140625,1.3125,0.109375
03-09-2021_12-44-05,-8.489734584799999,-4.618147618,2.5794627627999995,4.9375,-2.0,-0.3359375
03-09-2021_12-44-05,-8.5615192628,-5.1158547188,2.3856441321999995,-1.0859375,-1.4609375,2.703125
03-09-2021_12-44-05,-8.303094422,-4.240081647199999,2.6225335696,1.4453125,2.953125,-0.84375
03-09-2021_12-44-05,-8.329415470599999,-4.797609313,2.8929225234,0.765625,2.203125,-0.1875
03-09-2021_12-44-05,-8.231309743999999,-4.883750926599999,2.4933211492,0.546875,0.1640625,3.1953125
03-09-2021_12-44-06,-8.25523797,-4.7641097966,2.6201407469999998,-0.3125,0.7421875,0.0703125
03-09-2021_12-44-06,-8.3533436966,-4.5415772948,2.7302105865999997,0.9375,2.140625,0.4609375
03-09-2021_12-44-06,-8.338986761,-4.9005006848,2.6440689729999995,1.78125,-0.0703125,-0.296875
03-09-2021_12-44-06,-8.2097743406,-4.6612184247999995,2.524427843,2.359375,0.1640625,-0.75
03-09-2021_12-44-06,-8.293523131599999,-4.5678983434,2.739781877,0.46875,1.4609375,0.609375
03-09-2021_12-44-06,-8.3557365192,-4.8981078622,2.7254249414,0.5859375,-1.90625,0.0078125
03-09-2021_12-44-06,-8.336593938399998,-4.7258246349999995,2.6679971989999993,0.9375,-0.4296875,-1.046875
03-09-2021_12-44-06,-8.427521197199999,-4.711467699399999,2.6297120374,0.328125,-0.2421875,0.1015625
03-09-2021_12-44-06,-8.3222370028,-4.5990050371999995,2.7469603447999997,-1.4765625,-1.1640625,1.3125
03-09-2021_12-44-06,-8.3796647452,-4.570291166,2.739781877,-0.6875,-0.296875,-0.3359375
03-09-2021_12-44-06,-8.338986761,-4.6995035864,2.6632115537999996,-0.171875,1.1328125,-0.65625
03-09-2021_12-44-06,-8.434699665,-4.7306102802,2.7302105865999997,-0.3125,-1.0703125,-0.140625
03-09-2021_12-44-06,-8.3007015994,-4.5774696338,2.6823541345999997,-1.4375,-0.234375,1.1171875
