time,g_x,g_y,g_z,a_x,a_y,a_z
03-21-2021_13-08-00,-1.4524433181999998,-3.2518459134,-6.3098731962,-59.453125,-64.46875,-12.03125
03-21-2021_13-08-00,-4.3118663252,-1.8448662245999998,-0.6029912951999999,-76.1875,-178.2890625,-31.9921875
03-21-2021_13-08-00,-19.6020027392,6.613761666399999,-5.670989562,-80.0546875,203.265625,-36.1328125
03-21-2021_13-08-01,7.4177500599999995,7.137789815799999,3.8620156764,207.8671875,255.9921875,-113.5234375
03-21-2021_13-08-01,15.926627225599999,-11.011769605199998,-0.031106693799999998,5.5390625,-256.0,229.046875
03-21-2021_13-08-01,-19.6020027392,-4.3501514868,-0.6125625856,-222.0546875,255.9921875,11.1796875
03-21-2021_13-08-01,-19.6020027392,6.592226263,-19.6020027392,255.9921875,4.2109375,-129.2109375
03-21-2021_13-08-01,15.706487546399998,4.5655055207999995,19.5996099166,127.78125,-256.0,177.90625
03-21-2021_13-08-01,-17.2307155426,-6.597011908199999,-17.3934274794,-16.390625,228.3515625,-97.0390625
03-21-2021_13-08-01,-0.5120640364,-7.369893607999999,-19.6020027392,255.9921875,255.9921875,-90.328125
03-21-2021_13-08-01,-11.0333050086,-0.6699903279999999,-5.546562786799999,74.65625,255.9921875,-240.8203125
03-21-2021_13-08-01,-4.4458643908,6.5228344075999996,-17.594424577799998,57.09375,90.75,-68.046875
03-21-2021_13-08-01,13.8831567252,-13.548161561199997,-14.313864793199999,24.0078125,91.75,-13.1171875
03-21-2021_13-08-01,-0.6699903279999999,-2.3018953412,10.2269237924,-107.578125,-140.078125,-49.09375
03-21-2021_13-08-01,-19.6020027392,18.089738856,-15.814164563399999,165.25,20.2890625,-75.015625
03-21-2021_13-08-01,11.018948073,-11.9617201774,6.2117674696,160.28125,-213.5546875,-56.4609375
03-21-2021_13-08-01,-18.4151627296,-6.2955162605999995,-11.4927269478,-108.1484375,135.5390625,63.4609375
