time,g_x,g_y,g_z,a_x,a_y,a_z
02-08-2021_12-38-45,5.5609197223999995,-0.490528633,-7.4727849798,-6.9921875,-20.9453125,5.75
02-08-2021_12-38-45,5.264209719999999,-0.7800601676,-7.7264241754,-6.9140625,-16.921875,6.71875
02-08-2021_12-38-45,5.359922623999999,-0.8231309743999999,-7.862815063599999,-4.8046875,-2.765625,-2.171875
02-08-2021_12-38-45,5.38385085,-0.8542376682,-7.604390222799999,-3.2421875,0.7890625,3.296875
02-08-2021_12-38-46,5.5369914964,-0.5766702466,-7.334001268999999,-14.4140625,-8.1796875,4.34375
02-08-2021_12-38-46,5.544169964199999,-0.4498506487999999,-8.0231341778,-15.015625,-23.703125,3.8125
02-08-2021_12-38-46,3.9816568063999997,-0.24646072779999997,-8.2145599858,-17.578125,-14.53125,7.1015625
02-08-2021_12-38-46,3.9577285803999995,0.8901300072,-7.467999334599999,12.90625,31.1875,19.546875
02-08-2021_12-38-46,6.113661743,-1.1557333157999998,-7.944171032,30.15625,34.453125,-0.4765625
02-08-2021_12-38-46,5.584847948399999,-0.26321048599999997,-7.893921757399999,-1.1796875,-2.90625,-11.421875
02-08-2021_12-38-46,5.426921656799999,-0.8709874263999998,-7.850850950599999,11.1953125,13.859375,-6.0078125
02-08-2021_12-38-46,5.1469614126,-0.19381863059999999,-7.858029418399999,13.453125,22.234375,-2.09375
02-08-2021_12-38-46,5.874379482999999,-0.7992027483999999,-7.257430945799999,12.4921875,26.1953125,0.6015625
02-08-2021_12-38-46,5.606383351799999,-0.7800601676,-7.190431912999999,2.7578125,9.15625,-7.1796875
02-08-2021_12-38-46,5.706881901,-0.6963113766,-7.735995465799999,9.2265625,13.0390625,-3.046875
02-08-2021_12-38-46,6.254838276399999,-1.2275179938,-7.6067830454,8.5703125,9.5859375,-5.09375
02-08-2021_12-38-46,5.448457060199999,-0.3900300838,-7.4584280442,5.6953125,13.5078125,-5.5546875
02-08-2021_12-38-46,6.671189408799999,-1.0839486377999998,-7.5206414318,2.828125,5.2734375,-3.4140625
02-08-2021_12-38-46,6.575476504799999,-0.8877371845999998,-7.2071816712,-5.6953125,-8.8984375,-4.5859375
02-08-2021_12-38-46,5.6566326263999995,-0.7537391189999999,-7.451249576399999,-1.0546875,-3.390625,-6.9296875
02-08-2021_12-38-46,6.2500526312,-0.6580262149999999,-7.1234328802,2.2421875,-0.828125,-6.2421875
02-08-2021_12-38-47,6.032305774599999,-0.5383850849999999,-7.2311098972,3.0703125,2.921875,-5.0625
02-08-2021_12-38-47,6.439085616599999,-0.6436692794,-7.334001268999999,-1.1015625,-7.015625,-10.046875
02-08-2021_12-38-47,6.005984725999999,-0.6053841178,-7.350751027199999,1.3671875,9.578125,-3.6484375
02-08-2021_12-38-47,6.477370778199999,-0.7561319415999999,-6.8219372326,7.796875,32.625,4.4140625
02-08-2021_12-38-47,7.525427076999999,-1.1174481541999999,-6.7118673929999995,0.6640625,-0.6015625,2.96875
02-08-2021_12-38-47,5.7499527077999995,-0.5670989562,-7.125825702799999,-3.984375,-8.140625,1.8828125
02-08-2021_12-38-47,6.266802389399999,-0.7106683122,-7.200003203399999,0.0,2.1015625,7.734375
02-08-2021_12-38-47,6.0945191622,-0.9667003303999999,-7.391429011399999,-2.875,-1.046875,6.1171875
02-08-2021_12-38-47,6.0107703712,-0.6005984726,-6.9296142496,-5.640625,5.6171875,16.6796875
02-08-2021_12-38-47,6.6616181184,-0.9571290399999999,-6.7190458608,-3.796875,-1.34375,19.0390625
02-08-2021_12-38-47,7.1234328802,-1.3974083983999999,-7.247859655399999,-8.203125,-38.1875,-13.71875
02-08-2021_12-38-47,4.6492543118,-0.5144568589999999,-7.527819899599999,2.8671875,-2.1640625,-3.59375
02-08-2021_12-38-47,6.166303840199999,-0.8039883936,-7.274180703999999,-4.8671875,0.3828125,-1.75
02-08-2021_12-38-47,6.197410533999999,-0.45463629399999994,-7.4368926408,-8.453125,-12.984375,-8.9921875
02-08-2021_12-38-47,5.4412785924,-0.5670989562,-7.8699935314,-1.3515625,-4.78125,-8.2578125
02-08-2021_12-38-47,5.4747781088,-0.6388836341999999,-7.4488567537999995,4.90625,10.53125,2.859375
02-08-2021_12-38-48,6.1998033565999995,-0.4450650036,-7.343572559399999,-6.0,-8.0546875,-3.6171875
02-08-2021_12-38-48,5.678168029799999,-0.36610185779999993,-7.621139980999999,-3.6484375,-14.078125,1.15625
02-08-2021_12-38-48,5.4628139957999995,-0.5168496816,-7.848458128,1.40625,-8.609375,-2.3046875
02-08-2021_12-38-48,5.1637111708,-0.2440679052,-7.621139980999999,-2.265625,-4.8828125,3.1328125
02-08-2021_12-38-48,5.7643096434,-0.4761716974,-7.8221370794,-2.40625,-7.5390625,5.265625
02-08-2021_12-38-48,5.747559885199999,-0.346959277,-7.640282561799999,-1.4375,-6.265625,2.0546875
02-08-2021_12-38-48,5.424528834199999,-0.45942193919999996,-7.697710304199999,3.71875,-0.2109375,-3.0859375
02-08-2021_12-38-48,5.5704910128,-0.3565305674,-7.795816030799999,0.2421875,0.3828125,-4.484375
02-08-2021_12-38-48,5.460421173199999,-0.39960137419999997,-7.6905318364,2.53125,5.0625,-3.5390625
02-08-2021_12-38-48,4.924428910800001,0.0,-7.6498538522,-0.09375,12.3046875,4.921875
02-08-2021_12-38-48,5.9198431124,-0.33738798659999997,-7.575676351599999,2.796875,3.875,-1.7421875
02-08-2021_12-38-48,5.522634560799999,-0.48095734259999995,-7.5804619967999995,3.34375,-6.2421875,-8.203125
02-08-2021_12-38-48,5.292923591199999,0.04546362939999999,-7.755138046599999,10.3125,1.7578125,-8.265625
02-08-2021_12-38-48,5.580062303199999,-0.48335016519999996,-7.7048887719999986,1.5546875,-0.984375,-4.4140625
02-08-2021_12-38-48,5.582455125799999,-0.29910282499999996,-7.671389255599999,2.6484375,0.875,-0.6796875
02-08-2021_12-38-48,5.235495848799999,-0.39720855159999996,-7.7503524014,4.4609375,4.2265625,0.53125
02-08-2021_12-38-48,5.3982077855999995,-0.3637090351999999,-7.6881390138,2.9453125,1.109375,1.1015625
02-08-2021_12-38-49,5.1086762509999994,-0.32542387359999997,-7.7240313528,3.375,4.3984375,2.1171875
02-08-2021_12-38-49,5.7284173044,-0.3517449222,-7.695317481599999,0.125,-0.2265625,-1.4609375
02-08-2021_12-38-49,5.424528834199999,-0.31106693799999996,-7.6139615132,2.9140625,4.6796875,0.4296875
02-08-2021_12-38-49,5.486742221799999,-0.31345976059999997,-7.621139980999999,2.796875,3.40625,-0.75
02-08-2021_12-38-49,5.845665611799999,-0.4474578262,-7.5517481256,3.359375,1.7421875,-0.9375
02-08-2021_12-38-49,5.541777141599999,-0.48574298779999997,-7.640282561799999,4.0078125,2.28125,-0.6640625
02-08-2021_12-38-49,5.422136011599999,-0.4259224228,-7.661817965199999,5.9765625,10.421875,-0.3203125
02-08-2021_12-38-49,5.505884802599999,-0.3517449222,-7.599604577599999,1.375,1.7734375,-3.7265625
02-08-2021_12-38-49,6.197410533999999,-0.7034898444,-7.503891673599999,3.3671875,-2.2734375,-5.3515625
02-08-2021_12-38-49,5.761916820799999,-0.5072783912,-7.5828548194,2.7890625,-5.484375,-8.4765625
02-08-2021_12-38-49,5.651846981199999,-0.6173482307999999,-7.621139980999999,0.46875,-4.6015625,-6.6953125
02-08-2021_12-38-49,5.8528440796,-0.6221338759999999,-7.544569657799999,-1.09375,-0.6953125,-1.65625
02-08-2021_12-38-49,5.347958510999999,-0.4331008906,-7.767102159599999,-1.828125,0.859375,-1.6171875
02-08-2021_12-38-49,5.618347464799999,-0.5312066172,-7.6546394974,2.71875,5.4296875,-2.0390625
02-08-2021_12-38-49,5.6925249654,-0.39242290639999994,-7.566105061199999,2.59375,7.6796875,-3.3828125
02-08-2021_12-38-49,6.2883377928,-0.5288137946,-7.5684978838,-2.8828125,-5.078125,-2.6796875
02-08-2021_12-38-49,5.5920264161999995,-0.3326023414,-7.501498850999999,-1.578125,-8.640625,-5.0703125
02-08-2021_12-38-50,4.8358944746,-0.11724830739999999,-7.6139615132,3.2734375,0.9765625,-0.046875
02-08-2021_12-38-50,6.1208402108,-0.5790630692,-7.77667345,3.5703125,2.5859375,-1.296875
02-08-2021_12-38-50,5.3024948815999995,-0.0430708068,-7.755138046599999,2.75,1.390625,-1.1015625
02-08-2021_12-38-50,5.1900322194,-0.3397808092,-7.5708907064,1.6875,5.5546875,-2.3125
02-08-2021_12-38-50,5.893522063799999,-0.14117653339999997,-7.4129644148,3.359375,7.34375,2.53125
02-08-2021_12-38-50,5.795416337199999,-0.2679961312,-7.5134629639999995,2.75,-1.03125,-1.28125
02-08-2021_12-38-50,6.319444486599999,-0.5455635528,-7.479963447599999,0.4453125,-2.5,-3.328125
02-08-2021_12-38-50,5.4149575438,-0.31106693799999996,-7.6546394974,-0.015625,-6.3515625,-5.5
02-08-2021_12-38-50,5.5944192388,-0.26081766339999995,-7.6737820781999995,0.2734375,-2.9921875,-3.78125
02-08-2021_12-38-50,5.508277625199999,-0.4450650036,-7.702495949399999,3.8125,6.6953125,-0.1640625
02-08-2021_12-38-50,5.611168997,-0.28713871199999996,-7.633104093999999,1.875,3.0,1.5
02-08-2021_12-38-50,5.352744156199999,-0.22013967919999997,-7.697710304199999,0.765625,2.046875,6.4140625
02-08-2021_12-38-50,5.8480584343999995,-0.4331008906,-7.6067830454,-0.609375,0.4296875,2.46875
02-08-2021_12-38-50,5.4173503664,-0.3445664544,-7.743173933599999,-0.7265625,-1.2421875,1.75
02-08-2021_12-38-50,5.809773272799999,-0.5383850849999999,-7.549355302999999,-1.109375,0.5390625,0.421875
02-08-2021_12-38-50,5.761916820799999,-0.47377887479999997,-7.5541409482,0.5546875,4.4765625,3.09375
02-08-2021_12-38-51,5.9485569836,-0.2584248408,-7.444071108599999,-0.234375,0.3046875,3.4921875
02-08-2021_12-38-51,5.6566326263999995,-0.5168496816,-7.695317481599999,0.890625,1.34375,-0.6328125
02-08-2021_12-38-51,5.754738353,-0.3637090351999999,-7.3028945752,-1.5546875,-0.3046875,2.0859375
02-08-2021_12-38-51,5.6901321428,-0.28474588939999995,-7.599604577599999,0.421875,3.1953125,3.28125
02-08-2021_12-38-51,5.5489556094,-0.26321048599999997,-7.625925626199999,0.7890625,4.53125,4.4609375
02-08-2021_12-38-51,5.7810594016,-0.1579262916,-7.575676351599999,-0.671875,-1.2421875,2.75
02-08-2021_12-38-51,5.7260244818,-0.45224347139999993,-7.657032319999999,-1.4296875,-4.7265625,-1.6640625
02-08-2021_12-38-51,5.5968120614,-0.40917266459999996,-7.601997400199999,2.109375,1.9921875,1.7734375
02-08-2021_12-38-51,5.613561819599999,-0.13160524299999998,-7.542176835199999,1.5390625,2.4765625,0.2109375
02-08-2021_12-38-51,6.017948839,-0.31106693799999996,-7.5349983674,0.4453125,1.828125,0.8984375
02-08-2021_12-38-51,5.5106704478,-0.4331008906,-7.5302127222,1.109375,-0.484375,-0.75
02-08-2021_12-38-51,5.809773272799999,-0.39242290639999994,-7.508677318799999,1.125,-0.953125,1.234375
02-08-2021_12-38-51,5.443671415,-0.23928225999999997,-7.668996432999999,2.4453125,2.46875,1.7734375
02-08-2021_12-38-51,5.7882378694,-0.418743955,-7.633104093999999,-2.40625,-5.8515625,-0.6640625
02-08-2021_12-38-51,5.797809159799999,-0.3278166962,-7.5182486092,-0.171875,-4.5078125,-1.4140625
02-08-2021_12-38-51,5.587240771,-0.2943171798,-7.599604577599999,4.859375,4.109375,-1.59375
02-08-2021_12-38-51,5.7451670626,-0.3637090351999999,-7.599604577599999,7.03125,8.0078125,0.0859375
02-08-2021_12-38-52,5.905486176799999,-0.3565305674,-7.5158557865999995,2.6953125,1.9921875,0.1796875
02-08-2021_12-38-52,5.740381417399999,-0.5216353267999999,-7.5110701413999985,2.546875,0.5390625,-3.1796875
02-08-2021_12-38-52,6.005984725999999,-0.6245266986,-7.4608208668,3.3515625,2.125,-3.90625
02-08-2021_12-38-52,5.412564721199999,-0.215354034,-7.623532803599999,1.328125,1.90625,-3.078125
02-08-2021_12-38-52,6.3074803736,-0.4450650036,-7.5828548194,0.1875,1.984375,2.8125
02-08-2021_12-38-52,5.8839507734,-0.46899322959999995,-7.4560352216,0.640625,0.25,1.578125
02-08-2021_12-38-52,5.580062303199999,-0.2895315346,-7.561319415999999,0.5078125,-1.1015625,1.2578125
02-08-2021_12-38-52,5.7643096434,-0.5024927459999999,-7.542176835199999,2.1015625,4.4765625,2.09375
02-08-2021_12-38-52,5.946164161,-0.39242290639999994,-7.439285463399999,-1.125,-1.6328125,2.796875
02-08-2021_12-38-52,6.072983758799999,-0.5120640364,-7.441678285999999,-0.1171875,-4.3515625,0.3125
02-08-2021_12-38-52,5.702096255799999,-0.5862415369999999,-7.506284496199999,0.7109375,-0.3984375,-1.84375
02-08-2021_12-38-52,5.651846981199999,-0.39720855159999996,-7.539784012599999,-0.8046875,-2.9453125,-2.2578125
02-08-2021_12-38-52,5.5369914964,-0.22731814699999997,-7.599604577599999,-0.21875,0.65625,1.3984375
02-08-2021_12-38-52,5.845665611799999,-0.42113677759999996,-7.446463931199999,4.3671875,5.59375,5.2265625
02-08-2021_12-38-52,5.836094321399999,-0.44027935839999993,-7.623532803599999,3.1015625,-0.984375,0.984375
02-08-2021_12-38-52,5.5322058512,-0.2009970984,-7.623532803599999,0.6640625,-4.046875,-3.328125
02-08-2021_12-38-53,5.6374900456,-0.45702911659999995,-7.5900332872,1.890625,0.1171875,-3.9453125
02-08-2021_12-38-53,5.5968120614,-0.23928225999999997,-7.487141915399999,1.7421875,2.4375,-1.9296875
02-08-2021_12-38-53,5.7044890784,-0.48574298779999997,-7.4943203832,1.5546875,1.1953125,-0.3046875
02-08-2021_12-38-53,5.836094321399999,-0.6197410534,-7.645068206999999,3.7734375,0.328125,-1.2734375
02-08-2021_12-38-53,5.8289158536,-0.18424734019999997,-7.4608208668,-2.1328125,-0.9140625,-1.5234375
02-08-2021_12-38-53,5.3790652048,-0.3302095188,-7.566105061199999,0.5703125,0.5703125,0.4140625
02-08-2021_12-38-53,5.7810594016,-0.3613162126,-7.525427076999999,1.0546875,3.421875,5.0625
