time,g_x,g_y,g_z,a_x,a_y,a_z
03-06-2021_14-14-27,-0.5527420206,-6.0969119848,8.444270955399999,0.1588522327010464,-0.048678323668904344,-0.22239312578146497
03-06-2021_14-14-27,-0.7680960546,-4.7090748768,9.267401929799998,0.1880319561328266,-0.07390378551413489,-0.12067315531367044
03-06-2021_14-14-27,-0.8997012975999998,-4.749752860999999,9.044869428,-0.05195081601639372,-0.17616917137317764,0.11371910907525554
03-06-2021_14-14-27,-0.3445664544,-5.407779076,8.7649091838,-0.08617563181722002,-0.15394349417981235,0.16117024811385136
03-06-2021_14-14-27,-0.4474578262,-4.9340002012,9.095118702599999,-0.043905938995482355,-0.13362677085581587,0.17166949439537976
03-06-2021_14-14-27,-0.5383850849999999,-5.388636495199999,8.817551280999998,-0.0995383089028016,-0.07676721631818809,0.16498815585258897
03-06-2021_14-14-27,-0.3637090351999999,-5.3383872206,8.951549346599998,0.019634954084936207,-0.057404969928876,0.06994952392758524
03-06-2021_14-14-27,-0.562313311,-5.2259245584,8.9276211206,0.012544553998709244,-0.07567638553569163,0.06422266231947885
03-06-2021_14-14-27,-0.4474578262,-5.1421757674,9.006584266399999,0.05917756995043274,-0.006135923151542565,0.04308781590861001
03-06-2021_14-14-27,-0.46899322959999995,-5.1541398804,9.044869428,-0.03040690806208871,-0.03449752349645042,0.019089538693687978
03-06-2021_14-14-27,-0.5000999234,-5.3455656884,8.915657007599998,-0.03463387734426248,-0.011181015520588674,0.05508695451607103
03-06-2021_14-14-27,-0.22013967919999997,-5.2235317358,8.9754775726,-0.08126689329598596,-0.0136353847812057,0.050178215994836975
03-06-2021_14-14-27,-0.3326023414,-5.620740287399999,8.712267086599999,-0.0545415391248228,0.01445350786807804,0.022498384888989403
03-06-2021_14-14-27,-0.5096712137999999,-5.331208752799999,8.7553378934,0.040769800495805045,0.0545415391248228,-0.03736095430050362
03-06-2021_14-14-27,-0.2584248408,-5.254638429599999,9.0520478958,0.030679615757712823,0.047860200582032005,-0.07117670855789375
03-06-2021_14-14-28,-0.562313311,-5.2067819775999995,8.9826560404,0.004363323129985824,0.007499461629663135,-0.05467789297263485
03-06-2021_14-14-28,-0.45463629399999994,-5.395814963,8.949156524,-0.04581489286485115,0.024270984910546144,-0.01731693867213124
03-06-2021_14-14-28,-0.6125625856,-5.4293144793999994,8.997012976,0.008999353955595762,0.032452215779269565,-0.041315215887053267
03-06-2021_14-14-28,-0.1220339526,-5.347958510999999,8.8749790234,0.0047723846734219946,0.05985933918949302,-0.05672320068981571
03-06-2021_14-14-28,-0.49531427819999996,-5.292923591199999,8.970691927399999,0.02672535417116317,0.04172427743048944,-0.06354089308041856
03-06-2021_14-14-28,-0.6460621019999999,-5.264209719999999,8.949156524,-0.029316077279592255,0.013771738629017757,-0.06858598544946466
03-06-2021_14-14-28,-0.4881358104,-5.3407800432,8.7768732968,0.016089754041822727,-0.001090830782496456,-0.04799655442984406
