time,g_x,g_y,g_z,a_x,a_y,a_z
03-11-2021_14-17-37,10.229316614999998,-16.6396883604,18.262022083199998,5.0,-0.5703125,4.5390625
03-11-2021_14-17-37,4.0390845488,-8.257630792599999,-2.847458894,-1.015625,-0.3125,-0.90625
03-11-2021_14-17-37,4.362115599799999,-8.1786676468,-3.4815568829999997,-2.8046875,0.4453125,0.1484375
03-11-2021_14-17-37,4.046263016599999,-8.128418372199999,-3.4145578501999996,-2.65625,-2.265625,0.6640625
03-11-2021_14-17-37,4.199403663,-8.2241312762,-3.3403803495999997,3.515625,3.359375,0.3046875
03-11-2021_14-17-37,3.984049629,-8.190631759799999,-3.2925238975999997,0.3125,2.3671875,-0.8515625
03-11-2021_14-17-37,4.043870194,-8.2648092604,-2.787638329,2.5625,0.8984375,0.609375
03-11-2021_14-17-37,4.2975093896,-8.303094422,-3.6658042231999994,-4.671875,-1.09375,-0.4921875
03-11-2021_14-17-37,4.0893338234,-7.984849016199999,-3.3786655112,4.4140625,2.3984375,0.5859375
03-11-2021_14-17-38,4.2376888246,-8.169096356399999,-3.1657042998,-0.7265625,0.4296875,-0.6640625
03-11-2021_14-17-38,4.2687955184,-8.4012001486,-3.4528430117999998,1.6015625,-0.265625,1.7265625
03-11-2021_14-17-38,4.1850467274,-8.434699665,-3.2279176873999997,1.6171875,-0.484375,1.5078125
03-11-2021_14-17-38,4.0247276132,-8.219345631,-2.9072794589999997,-1.1640625,-0.5,-0.1875
03-11-2021_14-17-38,4.206582130799999,-8.2025958728,-3.3930224467999994,-6.65625,-1.8046875,-3.453125
03-11-2021_14-17-38,4.0534414843999995,-8.1523465982,-3.6873396266,1.3046875,0.5859375,0.1640625
03-11-2021_14-17-38,4.378865358,-8.4155570842,-3.5294133349999997,0.3984375,0.359375,1.4765625
03-11-2021_14-17-38,4.137190275399999,-8.226524098799999,-3.1800612353999997,-3.484375,-0.734375,-1.4375
03-11-2021_14-17-38,4.0606199522,-8.003991596999999,-3.5964123677999997,2.3125,0.53125,0.9921875
03-11-2021_14-17-38,4.144368743199999,-8.5758761984,-3.1537401868,2.6953125,-3.625,4.578125
03-11-2021_14-17-38,4.283152454,-8.3126657124,-3.0364918793999993,3.7109375,2.6640625,0.3671875
03-11-2021_14-17-38,4.0366917262,-8.3342011158,-3.505485109,1.40625,2.5,-1.109375
03-11-2021_14-17-38,4.0893338234,-8.0853475654,-3.3930224467999994,-7.5,-3.875,-1.3125
03-11-2021_14-17-38,4.175475436999999,-8.262416437799999,-3.6203405938,0.890625,0.96875,-0.046875
03-11-2021_14-17-38,3.984049629,-8.2695949056,-3.1202406704,3.0,-0.234375,2.96875
03-11-2021_14-17-38,4.06779842,-8.3126657124,-2.9575287336,8.59375,5.0390625,1.6953125
03-11-2021_14-17-39,4.1012979364,-8.518448456,-3.2685956715999995,1.8125,-0.828125,1.5859375
03-11-2021_14-17-39,4.2759739861999995,-8.2097743406,-3.3762726885999994,-1.53125,-1.4609375,0.265625
03-11-2021_14-17-39,4.3286160834,-7.9657064354,-3.6083764807999996,-4.8984375,-1.03125,-2.8125
03-11-2021_14-17-39,4.362115599799999,-8.360522164399999,-3.7112678526,-4.2265625,-3.1171875,0.1015625
03-11-2021_14-17-39,4.1300118076,-8.3222370028,-3.6394831746,-0.9140625,-1.1640625,1.109375
03-11-2021_14-17-39,3.9744783385999995,-8.159525065999999,-3.1609186545999997,6.046875,3.625,1.171875
03-11-2021_14-17-39,3.9649070481999997,-8.3126657124,-3.1680971224,1.7578125,0.546875,0.5
03-11-2021_14-17-39,4.127618985,-8.137989662599999,-3.0077780082,-0.9453125,0.3359375,-0.7578125
03-11-2021_14-17-39,4.0127635002,-8.207381518,-3.0723842184,-7.96875,-4.234375,-3.96875
03-11-2021_14-17-39,4.2783668087999995,-8.5710905532,-3.553341561,3.140625,-1.9375,3.9375
03-11-2021_14-17-39,4.173082614399999,-8.01595571,-3.9409788222,-1.9765625,0.5546875,1.2578125
03-11-2021_14-17-39,4.1180476945999995,-8.128418372199999,-3.5150563993999997,-4.8046875,-2.046875,-0.3046875
03-11-2021_14-17-39,4.1922251952,-8.154739420799999,-3.5270205123999996,-0.6640625,0.859375,-0.1953125
03-11-2021_14-17-39,4.335794551199999,-8.408378616399999,-3.4719855925999994,-3.953125,-0.359375,-1.8984375
03-11-2021_14-17-39,4.1802610821999995,-8.3485580514,-3.6514472876,-4.6640625,-2.5859375,0.4609375
03-11-2021_14-17-39,4.1012979364,-8.219345631,-3.5006994637999997,0.3515625,0.4296875,0.5078125
03-11-2021_14-17-39,4.2257247116,-8.0805619202,-3.2231320422,3.0234375,1.59375,0.359375
03-11-2021_14-17-40,4.007977855,-8.267202082999999,-3.3571301077999993,1.65625,-2.6640625,3.328125
03-11-2021_14-17-40,4.137190275399999,-8.5806618436,-3.6586257554,3.625,1.0859375,1.796875
03-11-2021_14-17-40,4.1419759206,-8.0255270004,-3.1824540579999994,0.9140625,2.5078125,-0.765625
03-11-2021_14-17-40,4.1659041466,-8.3413795836,-3.5318061576,-3.421875,-1.890625,-0.25
03-11-2021_14-17-40,4.1347974528,-8.236095389199999,-3.5246276898,0.7421875,-0.90625,1.828125
03-11-2021_14-17-40,4.0390845488,-8.0015987744,-3.5796626096,8.921875,2.921875,3.8515625
03-11-2021_14-17-40,4.1012979364,-8.3557365192,-3.3164521235999995,2.765625,0.3671875,2.1796875
03-11-2021_14-17-40,4.0295132584,-8.350950873999999,-3.3475588174,0.546875,-0.171875,0.59375
03-11-2021_14-17-40,4.041477371399999,-8.3581293418,-3.445664544,1.9375,0.890625,0.8046875
03-11-2021_14-17-40,4.18743955,-8.274380550799998,-3.6131621259999998,0.5703125,-1.2890625,2.171875
03-11-2021_14-17-40,4.400400761399999,-8.140382485199998,-3.8261233374,3.1328125,1.390625,2.0078125
03-11-2021_14-17-40,4.077369710399999,-8.0590265168,-3.3403803495999997,4.0703125,0.4765625,3.6953125
03-11-2021_14-17-40,4.0965122912,-8.183453292,-3.409772205,6.25,3.2421875,2.3359375
03-11-2021_14-17-40,3.8428730955999995,-8.324629825399999,-2.9336005076,2.78125,2.859375,-1.03125
03-11-2021_14-17-40,4.048655839199999,-8.394021680799998,-2.9958138951999995,0.4609375,-3.8828125,3.0234375
03-11-2021_14-17-40,4.046263016599999,-8.338986761,-3.0484559924,1.4453125,-0.5703125,0.71875
03-11-2021_14-17-40,3.9984065645999993,-8.3437724062,-2.9718856691999997,0.671875,-3.0703125,-0.9140625
03-11-2021_14-17-41,4.079762532999999,-8.5088771656,-3.5318061576,-7.6015625,1.0546875,-5.6953125
03-11-2021_14-17-41,3.984049629,-7.951349499799999,-3.8093735792,-3.8125,-1.140625,0.6015625
03-11-2021_14-17-41,4.402793583999999,-7.886743289599999,-3.7686955949999996,0.109375,-1.2578125,2.453125
03-11-2021_14-17-41,3.8237305147999994,-8.0327054682,-3.5174492219999998,-1.78125,-1.875,0.640625
03-11-2021_14-17-41,4.127618985,-8.4155570842,-3.7064822074,2.0,1.953125,0.421875
03-11-2021_14-17-41,4.2544385828,-8.382057567799999,-3.7304104334,-2.3046875,-1.5859375,0.5703125
03-11-2021_14-17-41,4.1347974528,-8.274380550799998,-3.6801611588,0.53125,-1.6328125,1.9765625
03-11-2021_14-17-41,3.9457644673999996,-8.587840311399999,-3.5557343836,6.4765625,1.3671875,3.4296875
03-11-2021_14-17-41,3.936193177,-8.4155570842,-2.7349962317999994,-1.0078125,2.4609375,-3.046875
03-11-2021_14-17-41,4.2376888246,-8.3078800672,-3.5246276898,-7.0234375,-4.734375,1.53125
03-11-2021_14-17-41,3.9649070481999997,-8.465806358799998,-3.7160534977999995,-3.5546875,-1.4765625,-0.7265625
03-11-2021_14-17-41,4.2209390664,-8.3796647452,-3.8021951113999997,-5.171875,-1.8828125,-1.15625
03-11-2021_14-17-41,4.163511324,-7.956135144999999,-3.9170505961999997,4.609375,3.375,2.140625
03-11-2021_14-17-41,3.8572300312,-8.2097743406,-3.5700913191999994,8.4453125,2.2421875,3.734375
03-11-2021_14-17-41,3.7016965621999995,-8.3078800672,-2.9001009911999995,-3.140625,-2.078125,-1.375
03-11-2021_14-17-41,4.4075792292,-8.2863446638,-3.4719855925999994,-6.7734375,-4.5234375,0.8046875
03-11-2021_14-17-42,4.2305103568,-8.0949188558,-3.9816568063999997,-13.0,-6.2734375,-2.5859375
03-11-2021_14-17-42,4.077369710399999,-8.291130309,-3.8955151927999996,-2.515625,2.4140625,-2.7421875
03-11-2021_14-17-42,3.8117664017999995,-8.3318082932,-3.4504501891999997,2.0625,0.46875,1.1875
03-11-2021_14-17-42,3.8476587407999996,-8.190631759799999,-2.9527430883999997,2.03125,2.375,-1.2578125
03-11-2021_14-17-42,4.017549145399999,-8.1978102276,-3.7782668854,6.421875,-3.09375,5.484375
03-11-2021_14-17-42,3.8213376921999997,-8.4969130526,-3.1369904286,1.6484375,-1.2265625,0.65625
03-11-2021_14-17-42,3.9409788222,-8.0853475654,-3.1824540579999994,3.765625,3.9609375,-1.0078125
03-11-2021_14-17-42,4.3525443094,-8.338986761,-3.7399817237999997,-5.390625,0.390625,-2.296875
03-11-2021_14-17-42,4.173082614399999,-8.4969130526,-3.2925238975999997,-19.0234375,-7.8125,-4.125
03-11-2021_14-17-42,3.9625142255999997,-8.0183485326,-4.1180476945999995,-17.4453125,-8.515625,-1.5
03-11-2021_14-17-42,3.9888352742,-8.0781690976,-4.1850467274,-2.2734375,0.5390625,-2.1796875
