time,g_x,g_y,g_z,a_x,a_y,a_z
04-23-2021_06-34-15,-2.0243279195999997,-10.0163554036,17.958133613,-0.140625,0.296875,0.5703125
04-23-2021_06-34-15,9.229116768199999,1.9764714676,-2.9192435719999996,0.25,0.0234375,-0.0078125
04-23-2021_06-34-15,9.0975115252,1.9381863059999997,-2.87138712,2.40625,-0.046875,2.4609375
04-23-2021_06-34-15,9.035298137599998,2.0841484845999996,-2.775674216,-0.0546875,0.2578125,2.7734375
04-23-2021_06-34-15,9.001798621199999,1.8879370314,-2.4981067944,0.5390625,0.71875,0.0546875
04-23-2021_06-34-16,9.2147598326,2.0745771941999998,-2.9862426047999997,9.734375,6.203125,1.7421875
04-23-2021_06-34-16,9.3511507208,2.2971096959999997,-3.1058837348,9.3828125,8.71875,-1.2421875
04-23-2021_06-34-16,8.8630149104,1.5266208188,-3.1082765574,5.7421875,7.15625,-8.9765625
04-23-2021_06-34-16,8.8271225714,1.6654045296,-2.895315346,10.5390625,-3.1015625,-5.6640625
04-23-2021_06-34-16,9.107082815599998,2.1463618722,-2.763710103,10.5078125,-5.8046875,-1.09375
04-23-2021_06-34-16,9.487541608999999,1.9645073545999998,-2.6847469572,3.265625,-0.140625,-4.0390625
04-23-2021_06-34-16,9.401399995399998,1.9525432416,-2.7373890544,5.625,6.9375,-3.8125
04-23-2021_06-34-16,9.0400837828,2.0650059038,-2.5986053435999996,6.375,8.4140625,-3.875
04-23-2021_06-34-16,9.0400837828,2.2085752598,-2.6416761504,5.5234375,6.9453125,-3.0859375
04-23-2021_06-34-16,9.0975115252,2.1463618722,-2.6105694566,1.640625,6.234375,-4.46875
04-23-2021_06-34-16,9.111868460799998,2.1200408235999997,-2.5962125209999996,3.6328125,3.296875,-3.375
04-23-2021_06-34-16,9.169296203199998,2.1870398563999998,-2.6560330859999994,5.9375,0.890625,-0.9765625
04-23-2021_06-34-16,9.121439751199999,2.1631116304,-2.5004996169999996,4.53125,1.0078125,-0.53125
04-23-2021_06-34-16,9.312865559199999,2.1750757434,-2.6105694566,2.5,0.9296875,2.6875
04-23-2021_06-34-16,8.9994057986,2.0913269523999998,-2.428714939,-1.34375,-2.59375,6.0078125
04-23-2021_06-34-16,9.1453679772,2.1152551784,-2.2899312282,2.2890625,-0.359375,-0.1328125
04-23-2021_06-34-16,9.4683990282,2.0769700168,-2.9024938138,0.8984375,0.90625,2.1328125
04-23-2021_06-34-17,9.064012008799999,2.3928225999999997,-2.5794627627999995,-1.1796875,-0.0390625,3.15625
04-23-2021_06-34-17,9.267401929799998,1.9980068709999999,-2.5651058271999996,-2.5390625,-1.6015625,0.1640625
04-23-2021_06-34-17,9.296115801,1.8400805794,-2.5148565526,-0.59375,-0.5859375,1.8203125
04-23-2021_06-34-17,9.2075813648,2.1056838879999997,-2.5818555854,0.484375,1.0234375,-0.0390625
04-23-2021_06-34-17,9.071190476599998,2.0291135648,-2.6967110702,0.5390625,1.1953125,0.703125
04-23-2021_06-34-17,9.0975115252,2.0506489682,-2.5674986497999996,1.4140625,0.0078125,1.9453125
04-23-2021_06-34-17,9.209974187399999,2.1152551784,-2.6392833278,2.171875,-0.5390625,0.25
04-23-2021_06-34-17,9.3367937852,1.986042758,-2.6105694566,1.4375,-0.8515625,0.78125
04-23-2021_06-34-17,8.992227330799999,2.0051853387999996,-2.5890340532000002,0.546875,-0.734375,1.4453125
04-23-2021_06-34-17,9.111868460799998,2.0267207421999998,-2.6799613119999997,0.5625,-0.5859375,1.109375
04-23-2021_06-34-17,9.320044027,2.0793628394,-2.6512474407999997,1.796875,-1.453125,1.6484375
04-23-2021_06-34-17,9.2434737038,2.0650059038,-2.6488546182,0.59375,0.3359375,2.203125
