time,g_x,g_y,g_z,a_x,a_y,a_z
01-31-2021_06-41-19,1.9836499353999997,-2.1726829208,9.3990071728,0.625,0.9921875,0.375
01-31-2021_06-41-19,2.0362920326,-2.2755742926,9.736395159399999,0.890625,-0.90625,-0.203125
01-31-2021_06-41-19,1.950150419,-2.1272192914,9.7818587888,0.609375,0.0859375,0.3671875
01-31-2021_06-41-19,2.2348963083999998,-2.261217357,9.7555377402,0.15625,-1.0234375,0.8125
01-31-2021_06-41-20,2.1439690496,-2.2803599377999997,9.7603233854,-0.7265625,-0.7265625,-3.5625
01-31-2021_06-41-20,2.1750757434,-2.1535403399999997,9.8177511278,0.1875,2.1875,-0.8515625
01-31-2021_06-41-20,2.0099709839999997,-2.2061824372,9.5904329808,0.6328125,2.8359375,-0.09375
01-31-2021_06-41-20,2.2779671151999996,-2.0554346134,9.808179837399999,0.9296875,-1.3046875,-1.1015625
01-31-2021_06-41-20,2.1870398563999998,-2.3042881638,9.731609514199999,1.125,-0.0078125,0.640625
01-31-2021_06-41-20,2.045863323,-2.2229321954,9.6981099978,1.2109375,0.21875,0.28125
01-31-2021_06-41-20,2.0721843715999997,-2.1224336461999997,9.8321080634,1.3046875,0.84375,-0.1796875
01-31-2021_06-41-20,2.0793628394,-2.2325034857999997,9.786644434,2.7578125,1.546875,-0.9140625
01-31-2021_06-41-20,2.0362920326,-2.1942183242,9.808179837399999,2.0859375,0.5703125,-0.828125
01-31-2021_06-41-20,2.0123638066,-2.141576227,9.7076812882,1.25,1.5,0.375
01-31-2021_06-41-20,2.045863323,-2.3617159061999997,9.7172525786,1.8046875,-1.6953125,-0.25
01-31-2021_06-41-20,2.1511475173999997,-2.1583259852,9.7435736272,2.1875,-0.34375,0.1953125
01-31-2021_06-41-20,2.1128623558,-2.03389921,9.8201439504,1.734375,-0.25,0.5546875
01-31-2021_06-41-20,2.1702900981999997,-2.1487546948,9.741180804599999,0.9921875,-1.0625,0.109375
01-31-2021_06-41-20,2.1320049365999996,-2.2205393728,9.712466933399998,1.8828125,0.375,-0.46875
01-31-2021_06-41-21,2.0985054201999995,-2.1008982428,9.772287498399999,2.171875,0.421875,0.28125
01-31-2021_06-41-21,2.1822542112,-2.2564317118,9.702895643,1.3515625,0.484375,0.0546875
01-31-2021_06-41-21,2.1559331626,-2.069791549,9.9397850804,0.140625,-0.703125,0.234375
01-31-2021_06-41-21,2.1056838879999997,-2.2253250179999995,9.647860723199999,0.7109375,-1.4140625,0.0390625
01-31-2021_06-41-21,2.1870398563999998,-2.1152551784,9.571290399999999,0.8125,-0.53125,1.265625
01-31-2021_06-41-21,2.1678972755999997,-2.1678972755999997,9.7770731436,0.8515625,-1.3515625,0.96875
01-31-2021_06-41-21,2.2157537276,-2.0889341298,9.851250644199999,1.703125,0.7890625,0.4921875
01-31-2021_06-41-21,2.141576227,-2.1320049365999996,9.602397093799999,0.5078125,1.484375,1.25
01-31-2021_06-41-21,2.1631116304,-2.1367905817999997,9.748359272399998,1.96875,-0.046875,-0.1796875
01-31-2021_06-41-21,2.1080767106,-2.0889341298,9.7698946758,1.921875,1.265625,0.09375
01-31-2021_06-41-21,2.2277178406,-2.2348963083999998,9.6885387074,0.5703125,0.6796875,0.0
01-31-2021_06-41-21,2.2085752598,-2.1918255016,9.6598248362,2.515625,2.96875,0.859375
01-31-2021_06-41-21,2.03389921,-2.0650059038,9.9828558872,2.7578125,1.1328125,0.0390625
01-31-2021_06-41-21,2.0769700168,-2.0889341298,9.6717889492,1.234375,1.453125,1.3828125
01-31-2021_06-41-21,1.9094724347999998,-2.4478575198,9.597611448599999,0.453125,-2.8828125,-0.2109375
01-31-2021_06-41-21,2.2947168733999996,-2.2995025185999998,9.834500885999999,-2.9921875,-2.765625,0.390625
01-31-2021_06-41-22,2.1607188078,-2.1918255016,9.607182738999999,2.4921875,1.4609375,2.6953125
01-31-2021_06-41-22,2.1559331626,-1.8807585635999997,9.8153583052,1.8359375,2.234375,1.8046875
01-31-2021_06-41-22,1.9716858223999998,-2.1008982428,9.6885387074,3.3203125,0.3515625,-0.390625
01-31-2021_06-41-22,2.1990039693999996,-2.0051853387999996,9.714859756,0.5,0.875,-0.765625
01-31-2021_06-41-22,2.0099709839999997,-2.1942183242,9.667003304,3.1953125,3.0078125,3.421875
01-31-2021_06-41-22,1.8376877567999998,-2.4837498588,9.9445707256,-3.78125,-6.875,1.5625
01-31-2021_06-41-22,2.4047867129999996,-2.380858487,9.578468867799998,-1.8046875,0.6875,-1.2265625
01-31-2021_06-41-22,1.9645073545999998,-2.0673987264,9.655039190999998,3.2109375,2.4453125,1.1796875
01-31-2021_06-41-22,2.1583259852,-1.8161523534,10.078568791199999,0.4296875,1.4140625,-0.34375
01-31-2021_06-41-22,1.9286150156,-2.0793628394,9.6454679006,1.625,1.578125,-2.640625
01-31-2021_06-41-22,2.1535403399999997,-2.0434705004,9.8057870148,1.921875,0.5859375,-0.859375
01-31-2021_06-41-22,2.1248264688,-2.3162522768,9.6358966102,3.6171875,2.453125,-0.78125
01-31-2021_06-41-22,1.8640088054,-2.5076780847999998,9.4707918508,-0.15625,-3.078125,-0.1796875
01-31-2021_06-41-22,2.5052852621999997,-2.2157537276,9.702895643,-2.46875,-2.6875,-1.9921875
01-31-2021_06-41-22,1.8520446923999998,-2.1918255016,9.6813602396,1.640625,1.9609375,0.796875
01-31-2021_06-41-22,2.1942183242,-1.7347963849999999,9.7579305628,0.0390625,2.3828125,-1.5703125
01-31-2021_06-41-23,1.9022939669999996,-2.237289131,9.6981099978,3.6796875,-0.1796875,-3.2421875
01-31-2021_06-41-23,2.1942183242,-2.0123638066,9.9445707256,1.453125,0.875,-0.890625
01-31-2021_06-41-23,1.9405791286,-2.5411776011999994,9.5521478192,2.125,-0.1015625,-0.03125
01-31-2021_06-41-23,2.0769700168,-2.3018953412,10.217352501999999,-1.6796875,-5.53125,-0.578125
01-31-2021_06-41-23,1.9573288867999998,-2.3784656643999997,9.4971128994,2.8203125,4.46875,1.1640625
01-31-2021_06-41-23,2.0578274359999997,-1.7754743691999997,10.0187482262,1.7109375,2.4296875,-1.9296875
01-31-2021_06-41-23,1.9310078382,-2.045863323,9.595218626,3.5546875,0.390625,-2.0859375
01-31-2021_06-41-23,1.9932212257999997,-1.8999011443999998,9.798608546999999,1.8046875,0.1640625,-2.9609375
01-31-2021_06-41-23,2.0985054201999995,-2.4550359876,9.676574594399998,1.5234375,0.40625,-0.4140625
01-31-2021_06-41-23,2.2923240507999996,-2.2109680824,10.068997500799998,-2.6171875,-7.0859375,-0.734375
01-31-2021_06-41-23,1.9908284031999999,-2.2971096959999997,9.518648302799999,2.984375,2.28125,3.09375
01-31-2021_06-41-23,2.0673987264,-1.67497582,10.1072826624,0.9296875,2.671875,0.25
01-31-2021_06-41-23,2.0673987264,-2.0243279195999997,9.633503787599999,2.546875,-0.703125,-0.8671875
01-31-2021_06-41-23,2.261217357,-2.0602202586,9.8847501606,2.5625,1.0078125,-0.7109375
01-31-2021_06-41-23,2.0482561456,-2.4215364712,9.6622176588,2.7109375,0.8984375,0.546875
01-31-2021_06-41-23,1.6797614652,-2.4693929231999996,10.150353469199999,-1.953125,-4.3828125,1.1171875
01-31-2021_06-41-24,2.6464617955999996,-2.4598216327999998,9.4540420926,-1.03125,0.59375,0.25
01-31-2021_06-41-24,1.950150419,-1.9046867896,9.8991070962,2.25,3.8828125,1.46875
01-31-2021_06-41-24,1.9716858223999998,-1.9549360641999998,9.611968384199999,2.5234375,-0.5546875,-1.578125
01-31-2021_06-41-24,2.2157537276,-1.9884355805999998,9.8010013696,1.8203125,-0.7578125,-0.609375
01-31-2021_06-41-24,2.0985054201999995,-2.5268206656,9.513862657599999,1.9921875,-0.7421875,0.7265625
01-31-2021_06-41-24,2.0985054201999995,-2.2947168733999996,10.205388389,-3.1875,-5.546875,0.625
01-31-2021_06-41-24,2.1080767106,-2.2947168733999996,9.5904329808,2.140625,4.0,2.1640625
01-31-2021_06-41-24,2.0865413071999996,-1.7156538041999998,9.9086783866,1.6484375,3.2109375,-0.1796875
01-31-2021_06-41-24,1.9022939669999996,-1.8879370314,9.6813602396,3.1953125,0.6796875,-1.3359375
01-31-2021_06-41-24,2.2779671151999996,-2.0769700168,9.7794659662,1.359375,-0.6875,-1.0859375
01-31-2021_06-41-24,2.1248264688,-2.3928225999999997,9.678967416999999,2.078125,0.0625,1.25
01-31-2021_06-41-24,1.8975083218,-2.3665015514,10.289137179999999,-1.6484375,-5.75,2.0078125
01-31-2021_06-41-24,2.261217357,-2.4622144554000003,9.451649269999999,1.953125,3.71875,2.3203125
01-31-2021_06-41-24,1.9046867896,-1.6677973521999998,10.006784113199998,1.65625,3.0234375,-0.0625
