time,g_x,g_y,g_z,a_x,a_y,a_z
02-16-2021_16-17-35,19.5996099166,-3.2662028489999995,-12.842278894199998,-13.7421875,17.203125,4.4296875
02-16-2021_16-17-35,5.094319315399999,-1.4285150921999998,-5.740381417399999,-29.078125,11.4765625,13.453125
02-16-2021_16-17-35,4.953142782,0.0023928226,-5.675775207199999,-49.0859375,-12.359375,16.0546875
02-16-2021_16-17-35,8.640482408599999,-3.7806597079999995,-7.350751027199999,-70.3671875,-47.6640625,40.9921875
02-16-2021_16-17-35,8.2863446638,-5.0560341538,-8.8917287816,-47.1484375,-11.8046875,83.5
02-16-2021_16-17-36,4.8239303615999996,1.1270194446,-5.9820565,-16.546875,3.0546875,58.484375
02-16-2021_16-17-36,6.7740807805999985,-1.7730815465999998,-7.692924658999999,-10.96875,2.296875,7.7578125
02-16-2021_16-17-36,7.3244299786,-1.4309079147999997,-8.2337025666,36.5078125,-2.9765625,-35.7578125
02-16-2021_16-17-36,6.2500526312,0.38524443859999996,-6.3338014222,11.3359375,0.40625,-31.046875
02-16-2021_16-17-36,5.587240771,-0.7489534737999999,-5.314458994599999,2.2578125,19.375,-25.6640625
02-16-2021_16-17-36,6.3840506968,-1.4572289634,-9.068797653999999,48.4921875,61.1171875,-9.1640625
02-16-2021_16-17-36,3.8093735792,-0.2727817764,-8.937192410999998,40.15625,3.6484375,-20.984375
02-16-2021_16-17-36,6.666403763599999,-2.1391834043999998,-6.7190458608,53.3515625,-47.9609375,-31.5859375
02-16-2021_16-17-36,7.992027483999999,-1.9046867896,-6.460621019999999,34.359375,-16.5546875,-28.3671875
02-16-2021_16-17-36,9.784251611399998,0.0430708068,-7.027719976199999,14.046875,14.5,19.734375
02-16-2021_16-17-36,6.508477471999999,-0.0095712904,-5.797809159799999,-21.9296875,11.7109375,44.25
02-16-2021_16-17-36,3.7256247881999993,-0.5886343596,-6.013163193799999,-30.90625,12.8515625,40.7578125
02-16-2021_16-17-36,5.2450671392,-0.7848458127999999,-6.0346985972,-63.4453125,-30.46875,35.0
02-16-2021_16-17-36,7.6546394974,-4.299902212199999,-7.793423208199999,-56.4375,-45.09375,43.2421875
02-16-2021_16-17-36,6.001199080799999,-2.7349962317999994,-8.4969130526,-43.640625,8.7109375,90.7890625
02-16-2021_16-17-36,6.8745793297999995,0.8877371845999998,-6.3481583578,-50.65625,19.7109375,65.015625
02-16-2021_16-17-37,7.841279660199999,-2.2348963083999998,-9.3511507208,-1.546875,13.84375,7.1171875
02-16-2021_16-17-37,5.5369914964,-0.8135596839999999,-8.2337025666,21.375,10.3359375,-40.7421875
02-16-2021_16-17-37,5.1613183482,-1.016949605,-4.5966122145999995,6.0546875,24.0078125,-27.984375
02-16-2021_16-17-37,7.118647234999999,-2.5459632464,-8.5016986978,33.09375,62.796875,-13.0234375
02-16-2021_16-17-37,2.9216363945999997,-0.6125625856,-8.303094422,29.78125,31.2421875,-46.8125
02-16-2021_16-17-37,7.0492553796,-1.4524433181999998,-7.702495949399999,47.2109375,-49.7734375,-55.0390625
02-16-2021_16-17-37,7.858029418399999,-3.5509487383999994,-6.927221427,27.734375,-30.3203125,-54.8359375
02-16-2021_16-17-37,9.949356370799999,0.6604190376,-6.218945937399999,44.7734375,3.4921875,6.671875
02-16-2021_16-17-37,7.3220371559999995,0.8757730715999998,-4.8646083458,-39.1171875,39.4375,63.46875
02-16-2021_16-17-37,4.359722777199999,-0.5431707302,-5.4628139957999995,-73.3046875,14.9765625,44.7578125
02-16-2021_16-17-37,5.6901321428,-1.4931213023999999,-5.6231331099999995,-85.1796875,-44.5078125,29.2890625
02-16-2021_16-17-37,7.7742806274,-6.8219372326,-9.542576528799998,-79.2109375,-41.046875,65.90625
02-16-2021_16-17-37,5.7810594016,-0.28474588939999995,-7.860422241,-7.625,1.6953125,62.2109375
02-16-2021_16-17-37,6.0418770649999995,-1.2514462198,-7.403393124399999,-27.1640625,22.9296875,59.3125
02-16-2021_16-17-37,7.252645300599999,-1.2993026717999998,-8.7290168448,19.609375,-2.5078125,6.234375
02-16-2021_16-17-37,5.7260244818,-1.1892328321999999,-3.6705898684,14.484375,23.8515625,-22.515625
02-16-2021_16-17-38,8.547162327199999,-1.9334006607999998,-7.044469734399999,31.3828125,56.2109375,-0.3515625
02-16-2021_16-17-38,4.498506488,-0.6125625856,-9.487541608999999,31.8203125,75.84375,-12.390625
02-16-2021_16-17-38,3.4504501891999997,-2.3880369548,-7.2406811876,49.8671875,-30.140625,-38.0703125
02-16-2021_16-17-38,8.465806358799998,-1.9645073545999998,-6.9367927173999995,46.203125,-59.2421875,-63.453125
02-16-2021_16-17-38,8.7146599092,0.09571290399999999,-7.604390222799999,18.453125,14.6875,-19.15625
02-16-2021_16-17-38,8.858229265199999,-2.1152551784,-6.3003019058,-33.2578125,3.046875,52.78125
02-16-2021_16-17-38,5.120640363999999,-1.0719845248,-5.412564721199999,-28.3125,18.9921875,46.984375
02-16-2021_16-17-38,5.058426976399999,-0.15553346899999998,-5.2426743166,-71.0390625,-3.3125,43.1796875
02-16-2021_16-17-38,7.6115686905999995,-3.9816568063999997,-7.039684089199999,-69.171875,-52.9296875,35.9921875
02-16-2021_16-17-38,7.310073042999999,-5.137390122199999,-8.829515394,-95.0078125,-16.6484375,84.4375
02-16-2021_16-17-38,6.9176501366,-0.9284151687999999,-6.802794651799999,-26.1015625,10.7109375,66.1796875
02-16-2021_16-17-38,5.946164161,-1.0767701699999999,-7.8077801438,-11.828125,17.9921875,29.0859375
02-16-2021_16-17-38,7.080362073399999,-1.0336993632,-8.8127656358,13.4765625,-0.453125,-14.0859375
02-16-2021_16-17-38,4.7760739096,-1.9716858223999998,-4.1946180178,4.4375,16.21875,-8.2265625
02-16-2021_16-17-38,7.211967316399999,-3.409772205,-7.113861589799999,18.046875,49.0,15.1953125
02-16-2021_16-17-38,5.235495848799999,-0.4881358104,-9.142975154599998,43.9453125,59.890625,4.7578125
02-16-2021_16-17-38,3.1776684127999997,-1.5912270289999997,-7.089933363799999,-2.1796875,-19.2578125,-24.7421875
02-16-2021_16-17-39,8.0183485326,-1.5266208188,-6.984649169399999,19.1875,-58.703125,-68.2421875
