time,g_x,g_y,g_z,a_x,a_y,a_z
03-03-2021_15-19-14,0.3613162126,9.0783689444,1.363908882,0.017453292519943295,0.001908953869368798,0.026452646475539056
03-03-2021_15-19-15,0.4354937131999999,9.1190469286,1.3040883169999997,-0.003817907738737596,0.02127120025868089,0.019771307932748266
03-03-2021_15-19-15,0.4354937131999999,9.142975154599998,1.375872995,-0.021952969497741177,0.003136138499677311,-0.006544984694978736
03-03-2021_15-19-15,0.28235306679999994,8.97308475,1.2969098492,-0.00136353847812057,-0.010362892433716332,-0.022771092584613517
03-03-2021_15-19-15,0.3038884702,9.044869428,1.3136596073999998,0.011726430911836902,-0.013771738629017757,-0.020589431019620606
03-03-2021_15-19-15,0.38524443859999996,9.1190469286,1.3184452526,-0.004226969282173767,0.016498815585258897,-0.00272707695624114
03-03-2021_15-19-15,0.5120640364,8.997012976,1.447657673,0.00859029241215959,-0.025089107997418487,-0.018407769454627694
03-03-2021_15-19-15,0.2656033086,9.023334024599999,1.4213366244,-0.01758964636775535,-0.022089323345553233,0.011590077064024845
03-03-2021_15-19-15,0.16031911419999997,8.9419780562,1.4524433181999998,-0.00545415391248228,-0.011999138607461015,-0.03736095430050362
03-03-2021_15-19-15,0.430708068,9.157332090199999,1.3064811396,0.000545415391248228,-0.03722460045269156,0.014044446324641871
03-03-2021_15-19-15,0.418743955,8.915657007599998,1.447657673,-0.029316077279592255,-0.029725138823028425,-0.002318015412804969
03-03-2021_15-19-15,0.26321048599999997,9.1142612834,1.2897313813999998,-0.03722460045269156,0.001090830782496456,0.013362677085581585
03-03-2021_15-19-15,0.107677017,8.939585233599999,1.3328021881999998,0.0066813385427907926,-0.004226969282173767,-0.001772600021556741
03-03-2021_15-19-15,0.1387837108,9.001798621199999,1.3806586401999998,-0.0020453077171808547,-0.06776786236259233,0.026179938779914945
03-03-2021_15-19-15,0.40917266459999996,9.049655073199999,1.3447663012,-0.03722460045269156,-0.04349687745204618,0.0710403547100817
03-03-2021_15-19-15,0.38763726119999997,9.064012008799999,1.3208380752,-0.012408200150897187,-0.04199698512611356,0.06135923151542565
03-03-2021_15-19-15,0.562313311,9.291330155799999,1.3280165429999997,0.014589861715890098,-0.03681553890925539,0.032724923474893676
03-03-2021_15-19-16,0.39481572899999995,8.903692894599999,1.3136596073999998,-0.04881467751671641,-0.022225677193365292,0.004363323129985824
03-03-2021_15-19-16,0.49292145559999995,9.064012008799999,1.3686945272,-0.017862354063379465,-0.011590077064024845,0.06176829305886182
03-03-2021_15-19-16,0.34935209959999997,9.008977089,1.2873385588,-0.007499461629663135,-0.020044015628372377,0.025225461845230543
03-03-2021_15-19-16,0.48335016519999996,9.080761767,1.519442351,-0.029861492670840484,-0.02904336958396814,0.030815969605524882
03-03-2021_15-19-16,0.45463629399999994,8.9419780562,1.399801221,0.022225677193365292,-0.030952323453336938,0.037088246604879506
03-03-2021_15-19-16,0.5670989562,9.0975115252,1.2514462198,-0.015544338650574498,0.024680046453982318,-0.003954261586549653
